key	value	is_plural	phrase
aeroway	aerodrome	0	Lughawe
aeroway	aerodrome	1	Lughawes
amenity	arts_centre	0	Kunssentrum
amenity	arts_centre	1	Kunssentrums
amenity	atm	0	OTM
amenity	atm	1	OTMs
amenity	bank	0	Bank
amenity	bank	1	Banks
amenity	bar	0	Kroeg
amenity	bar	1	Kroegs
amenity	bicycle_parking	0	Fietsparkering
amenity	bicycle_parking	1	Fietsparkerings
amenity	bicycle_rental	0	Fietsverhuring
amenity	bicycle_rental	1	Fietsverhurings
amenity	brothel	0	Bordeel
amenity	brothel	1	Bordeels
amenity	bureau_de_change	0	Wisselkantoor
amenity	bureau_de_change	1	Wisselkantoors
amenity	bus_station	0	Bushalte
amenity	bus_station	1	Bushaltes
amenity	cafe	0	Kafee
amenity	cafe	1	Kafees
amenity	car_rental	0	Motorverhuring
amenity	car_rental	1	Motorverhurings
amenity	car_wash	0	Karwas
amenity	car_wash	1	Karwass
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Bioskoop
amenity	cinema	1	Bioskoops
amenity	clinic	0	Kliniek
amenity	clinic	1	Klinieks
amenity	college	0	Kollege
amenity	college	1	Kolleges
amenity	community_centre	0	Gemeenskap-sentrum
amenity	community_centre	1	Gemeenskap-sentrums
amenity	courthouse	0	Hof
amenity	courthouse	1	Hofs
amenity	crematorium	0	Krematorium
amenity	crematorium	1	Krematoriums
amenity	dentist	0	Tandarts
amenity	dentist	1	Tandartss
amenity	doctors	0	Dokters
amenity	doctors	1	Dokterss
amenity	drinking_water	0	Drinkwater
amenity	drinking_water	1	Drinkwaters
amenity	driving_school	0	Bestuurskool
amenity	driving_school	1	Bestuurskools
amenity	embassy	0	Ambassade
amenity	embassy	1	Ambassades
amenity	emergency_phone	0	Noodtelefoon
amenity	emergency_phone	1	Noodtelefoons
amenity	fast_food	0	Wegneemetes
amenity	fast_food	1	Wegneemetess
amenity	ferry_terminal	0	Veerterminaal
amenity	ferry_terminal	1	Veerterminaals
emergency	fire_hydrant	0	Brandkraan
emergency	fire_hydrant	1	Brandkraans
amenity	fire_station	0	Brandweerstasie
amenity	fire_station	1	Brandweerstasies
amenity	fountain	0	Fontein
amenity	fountain	1	Fonteins
amenity	fuel	0	Brandstof
amenity	fuel	1	Brandstofs
amenity	grave_yard	0	Begraafplaas
amenity	grave_yard	1	Begraafplaass
amenity	hospital	0	Hospitaal
amenity	hospital	1	Hospitaals
amenity	hunting_stand	0	Jagtoring
amenity	hunting_stand	1	Jagtorings
amenity	ice_cream	0	Roomys
amenity	ice_cream	1	Roomyss
amenity	kindergarten	0	Kleuterskool
amenity	kindergarten	1	Kleuterskools
amenity	library	0	Biblioteek
amenity	library	1	Biblioteeks
amenity	nightclub	0	Nagklub
amenity	nightclub	1	Nagklubs
amenity	nursing_home	0	Verpleeghuis
amenity	nursing_home	1	Verpleeghuiss
amenity	pharmacy	0	Apteek
amenity	pharmacy	1	Apteeks
amenity	place_of_worship	0	Plek van aanbidding
amenity	place_of_worship	1	Plek van aanbiddings
amenity	police	0	Polisie
amenity	police	1	Polisies
amenity	post_box	0	Posbus
amenity	post_box	1	Posbuss
amenity	post_office	0	Poskantoor
amenity	post_office	1	Poskantoors
amenity	prison	0	Tronk
amenity	prison	1	Tronks
amenity	pub	0	Kroeg
amenity	pub	1	Kroegs
amenity	public_building	0	Openbare gebou
amenity	public_building	1	Openbare gebous
amenity	restaurant	0	Restaurant
amenity	restaurant	1	Restaurants
amenity	retirement_home	0	Ouetehuis
amenity	retirement_home	1	Ouetehuiss
amenity	sauna	0	Sauna
amenity	sauna	1	Saunas
amenity	school	0	Skool
amenity	school	1	Skools
amenity	shelter	0	Skuiling
amenity	shelter	1	Skuilings
amenity	studio	0	Studio
amenity	studio	1	Studios
amenity	taxi	0	Taxi
amenity	taxi	1	Taxis
amenity	telephone	0	Openbare telefoon
amenity	telephone	1	Openbare telefoons
amenity	theatre	0	Teater
amenity	theatre	1	Teaters
amenity	toilets	0	Toilette
