key	value	is_plural	phrase
aeroway	aerodrome	0	مطار
aeroway	aerodrome	1	مطارات
amenity	arts_centre	0	مركز فني/ثقافي
amenity	arts_centre	1	مراكز فنيه/ثقافيه
amenity	atm	0	صراف آلي
amenity	atm	1	صرافات آليه
amenity	bank	0	مصرف
amenity	bank	1	مصارف
amenity	bar	0	حانة
amenity	bar	1	حانات
amenity	bench	0	مقعد
amenity	bench	1	مقاعد
amenity	bicycle_parking	0	موقف دراجات
amenity	bicycle_parking	1	مواقف دراجات
amenity	bicycle_rental	0	تأجير دراجة
amenity	bicycle_rental	1	تأجير دراجات
amenity	brothel	0	بيت دعارة
amenity	brothel	1	بيوت دعارة
amenity	bureau_de_change	0	مكتب صرافة
amenity	bureau_de_change	1	مكاتب صرافة
amenity	bus_station	0	محطة حافلات
amenity	bus_station	1	محطات حافلات
amenity	cafe	0	مقهى
amenity	cafe	1	مقاهي
amenity	car_rental	0	تأجير سيارات
amenity	car_rental	1	تأجير سيارات
amenity	car_sharing	0	مشاركة سيارات
amenity	car_sharing	1	مشاركة سيارات
amenity	car_wash	0	غسيل سيارات
amenity	car_wash	1	غسيل سيارات
amenity	casino	0	نادي قمار
amenity	casino	1	نوادي قمار
amenity	cinema	0	سينما
amenity	cinema	1	سينما
amenity	clinic	0	عيادة
amenity	clinic	1	عيادات
amenity	college	0	كلّية
amenity	community_centre	0	مركز اجتماع
amenity	courthouse	0	محكمة
amenity	crematorium	0	محرقة جثث
amenity	dentist	0	طبيب أسنان
amenity	doctors	1	أطباء
amenity	drinking_water	0	مياه عذبة
amenity	drinking_water	1	مياه عذبة
amenity	driving_school	0	مدرسة تعليم قيادة
amenity	driving_school	1	مدارس تعليم قيادة
amenity	embassy	0	سفارة
amenity	emergency_phone	0	هاتف طوارئ
amenity	fast_food	0	وجبات سريعة
amenity	fast_food	1	وجبات سريعة
amenity	ferry_terminal	0	مرسى عبّارة
amenity	ferry_terminal	1	مراسى عبّارات
emergency	fire_hydrant	0	مواد مكافحة حرائق
emergency	fire_hydrant	1	مواد مكافحة حرائق
amenity	fire_station	0	فوج إطفاء
amenity	fire_station	1	أفواج إطفاء
amenity	fountain	0	نافورة
amenity	fuel	0	وقود
amenity	fuel	1	وقود
amenity	grave_yard	0	مقبرة
amenity	gym	0	مركز للرشاقة/الرياضة
amenity	gym	1	مراكز للرشاقة/الرياضة
amenity	hospital	0	مستشفى
amenity	hospital	1	مستشفيات
amenity	hunting_stand	0	مربط للصيد
amenity	ice_cream	0	مثلجات
amenity	kindergarten	0	حضانة أطفال
amenity	kindergarten	1	حضانات أطفال
amenity	library	0	مكتبة
amenity	library	1	مكتبات
amenity	nightclub	0	نادي ليلي
amenity	nursing_home	0	دار رعاية مسنين/معاقين
amenity	nursing_home	1	دور رعاية مسنين/معاقين
amenity	pharmacy	0	صيدلية
amenity	place_of_worship	0	معبد
amenity	place_of_worship	1	معابد
amenity	police	0	شرطة
amenity	police	1	شرطة
amenity	post_box	0	صندوق بريد
amenity	post_office	0	مكتب بريد
amenity	post_office	1	مكاتب بريد
amenity	prison	0	سجن
amenity	pub	0	حانة
amenity	public_building	0	مبنى عام
amenity	recycling	0	نقطة إعادة تصنيع
amenity	restaurant	0	مطعم
amenity	retirement_home	0	بيت مسنين
amenity	sauna	0	حمّام بخاري حار
amenity	sauna	1	حمّام بخاري حارs
amenity	school	0	مدرسة
amenity	school	1	مدرسةs
amenity	shelter	0	ملجأ
amenity	shelter	1	ملجأs
amenity	studio	0	ستوديو
amenity	studio	1	ستوديوs
amenity	taxi	0	سيارة أجرة
amenity	taxi	1	سيارة أجرةs
amenity	telephone	0	هاتف عمومي
amenity	telephone	1	هاتف عموميs
amenity	theatre	0	مسرح
amenity	theatre	1	مسرحs
amenity	toilets	0	مراحيض
amenity	toilets	1	مراحيضs
amenity	townhall	0	مبنى بلدية
amenity	townhall	1	مبنى بلديةs
amenity	university	0	جامعة
amenity	university	1	جامعةs
amenity	vending_machine	0	آلة بيع
amenity	vending_machine	1	آلة بيعs
amenity	veterinary	0	جراحة بيطرية
amenity	veterinary	1	جراحة بيطريةs
amenity	waste_basket	0	سلة نفايات
amenity	waste_basket	1	سلة نفاياتs
boundary	administrative	0	حدود إدارية
boundary	administrative	1	حدود إداريةs
building	apartments	0	مجموعة شقق
building	apartments	1	مجموعة شققs
building	block	0	مجمع مباني
building	block	1	مجمع مبانيs
building	bunker	0	ملجأ محصن
building	bunker	1	ملجأ محصنs
building	chapel	0	معبد/مصلى
building	chapel	1	معبد/مصلىs
building	church	0	كنيسة
building	church	1	كنيسةs
building	city_hall	0	دار/قاعة البلدية
building	city_hall	1	دار/قاعة البلديةs
building	commercial	0	مبنى تجاري
building	commercial	1	مبنى تجاريs
building	dormitory	0	عنبر نوم
building	dormitory	1	عنبر نومs
building	entrance	0	مدخل مبنى
building	entrance	1	مدخل مبنىs
building	faculty	0	مبنى كلية
building	faculty	1	مبنى كليةs
building	farm	0	مبنى مزرعة
building	farm	1	مبنى مزرعةs
building	flats	0	شقق
building	flats	1	شققs
building	garage	0	مرآب
building	garage	1	مرآبs
building	hall	0	قاعة
building	hall	1	قاعةs
building	hospital	0	مبنى مستشفى
building	hospital	1	مبنى مستشفىs
building	hotel	0	فندق
building	hotel	1	فندقs
building	house	0	منزل
building	house	1	منزلs
building	industrial	0	مبنى صناعي
building	industrial	1	مبنى صناعيs
building	office	0	مبنى مكتب
building	office	1	مبنى مكتبs
building	public	0	مبنى عام
building	public	1	مبنى عامs
building	residential	0	مبنى سكني
building	residential	1	مبنى سكنيs
building	retail	0	مبنى بيع بالمفرق
building	retail	1	مبنى بيع بالمفرقs
building	school	0	مبنى مدرسة
building	school	1	مبنى مدرسةs
building	shop	0	متجر
building	shop	1	متجرs
building	stadium	0	مدرج ألعاب رياضية
building	stadium	1	مدرج ألعاب رياضيةs
building	store	0	مخزن
building	store	1	مخزنs
building	terrace	0	صف منازل
building	terrace	1	صف منازلs
building	tower	0	برج
building	tower	1	برجs
building	train_station	0	محطة قطار
building	train_station	1	محطة قطارs
building	university	0	مبنى جامعة
building	university	1	مبنى جامعةs
building	&quot;yes&quot;	0	مبنى
building	&quot;yes&quot;	1	مبنىs
highway	bridleway	0	مسلك خيول
highway	bridleway	1	مسلك خيولs
highway	bus_guideway	0	مسار خاص للحافلات
highway	bus_guideway	1	مسار خاص للحافلاتs
highway	bus_stop	0	موقف حافلات
highway	bus_stop	1	موقف حافلاتs
highway	byway	0	طريق فرعي
highway	byway	1	طريق فرعيs
highway	construction	0	طريق سريع قيد الإنشاء
highway	construction	1	طريق سريع قيد الإنشاءs
highway	cycleway	0	مسار دراجات
highway	cycleway	1	مسار دراجاتs
highway	distance_marker	0	إشارة مسافة
highway	distance_marker	1	إشارة مسافةs
highway	emergency_access_point	0	نقطة دخول طوارئ
highway	emergency_access_point	1	نقطة دخول طوارئs
highway	footway	0	ممر للمشاة
highway	footway	1	ممر للمشاةs
highway	ford	0	مخاضة
highway	ford	1	مخاضةs
highway	gate	0	بوّابة
highway	gate	1	بوّابةs
highway	living_street	0	شارع سكني
highway	living_street	1	شارع سكنيs
highway	minor	0	طريق غير هام
highway	minor	1	طريق غير هامs
highway	motorway	0	طريق سريع
highway	motorway	1	طريق سريعs
highway	motorway_junction	0	تقاطع طرقات سريعة
highway	motorway_junction	1	تقاطع طرقات سريعةs
highway	motorway_link	0	طريق سريع
highway	motorway_link	1	طريق سريعs
highway	path	0	مسار
highway	path	1	مسارs
highway	pedestrian	0	طريق للمشاة
highway	pedestrian	1	طريق للمشاةs
highway	platform	0	منصة
highway	platform	1	منصةs
highway	primary	0	طريق أولي
highway	primary	1	طريق أوليs
highway	primary_link	0	طريق أولي
highway	primary_link	1	طريق أوليs
highway	raceway	0	حلبة سباق
highway	raceway	1	حلبة سباقs
highway	residential	0	طريق سكني
highway	residential	1	طريق سكنيs
highway	road	0	طريق
highway	road	1	طريقs
highway	secondary	0	طريق ثانوي
highway	secondary	1	طريق ثانويs
highway	secondary_link	0	طريق ثانوي
highway	secondary_link	1	طريق ثانويs
highway	service	0	طريق خدمة
highway	service	1	طريق خدمةs
highway	services	0	خدمات الطرق السريعة
highway	services	1	خدمات الطرق السريعةs
highway	steps	0	درج
highway	steps	1	درجs
highway	stile	0	مرقى لعبور جدار
highway	stile	1	مرقى لعبور جدارs
highway	tertiary	0	طريق فرعي
highway	tertiary	1	طريق فرعيs
highway	track	0	مسار
highway	track	1	مسارs
highway	trail	0	درب
highway	trail	1	دربs
highway	trunk	0	طريق رئيسي
highway	trunk	1	طريق رئيسيs
highway	trunk_link	0	طريق رئيسي
highway	trunk_link	1	طريق رئيسيs
highway	unclassified	0	طريق غير مصنّف
highway	unclassified	1	طريق غير مصنّفs
highway	unsurfaced	0	طريق غير معبد
