key	value	is_plural	phrase
aeroway	aerodrome	0	Flughafen
aeroway	aerodrome	1	Flughäfen
amenity	animal_boarding	0	Tierpension
amenity	animal_boarding	1	Tierpensionen
amenity	arts_centre	0	Kulturzentrum
amenity	arts_centre	1	Kulturzentren
amenity	atm	0	Geldautomat
amenity	atm	1	Geldautomaten
amenity	bank	0	Bank
amenity	bank	1	Banken
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Bank
amenity	bench	1	Bänke
amenity	bicycle_parking	0	Fahrradstellplatz
amenity	bicycle_parking	1	Fahrradstellplätze
amenity	bicycle_rental	0	Fahrradverleih
amenity	bicycle_rental	1	Fahrradverleihe
amenity	biergarten	0	Biergarten
amenity	biergarten	1	Biergärten
amenity	brothel	0	Bordell
amenity	brothel	1	Bordelle
amenity	bureau_de_change	0	Wechselstube
amenity	bureau_de_change	1	Wechselstuben
amenity	bus_station	0	Busbahnhof
amenity	bus_station	1	Busbahnhöfe
amenity	cafe	0	Café
amenity	cafe	1	Cafés
amenity	cafe	0	Cafe
amenity	cafe	1	Cafes
amenity	car_rental	0	Autovermietung
amenity	car_rental	1	Autovermietungen
amenity	car_sharing	0	Carsharing
amenity	car_sharing	1	Carsharings
amenity	car_wash	0	Autowaschanlage
amenity	car_wash	1	Autowaschanlagen
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Kino
amenity	cinema	1	Kinos
amenity	clinic	0	Ärztehaus
amenity	clinic	0	Ärztezentrum
amenity	clinic	0	Klinik
amenity	clinic	1	Ärztehäuser
amenity	clinic	1	Ärztezentren
amenity	clinic	1	Kliniken
amenity	college	0	Hochschule
amenity	college	1	Hochschulen
amenity	community_centre	0	Gemeinschaftszentrum
amenity	community_centre	1	Gemeinschaftszentren
amenity	courthouse	0	Gericht
amenity	courthouse	1	Gerichte
amenity	crematorium	0	Krematorium
amenity	crematorium	1	Krematorien
amenity	dentist	0	Zahnarzt
amenity	dentist	1	Zahnärzte
amenity	doctors	0	Arzt
amenity	doctors	1	Ärzte
amenity	dojo	0	Dojo
amenity	dojo	1	Dojos
amenity	dojo	0	Dojang
amenity	dojo	1	Dojang
amenity	dojo	0	Kampfsport
amenity	dojo	0	Kampfkunst
amenity	drinking_water	0	Trinkwasser
amenity	drinking_water	1	Trinkwasser
amenity	driving_school	0	Fahrschule
amenity	driving_school	1	Fahrschulen
amenity	embassy	0	Botschaft
amenity	embassy	1	Botschaften
amenity	emergency_phone	0	Notrufsäule
amenity	emergency_phone	1	Notrufsäulen
amenity	fast_food	0	Schnellimbiss
amenity	fast_food	1	Schnellimbisse
amenity	fast_food	0	Imbiss
amenity	fast_food	1	Imbisse
amenity	ferry_terminal	0	Fähranlegestelle
amenity	ferry_terminal	1	Fähranlegestellen
emergency	fire_hydrant	0	Hydrant
emergency	fire_hydrant	1	Hydranten
amenity	fire_station	0	Feuerwehr
amenity	fire_station	1	Feuerwehren
amenity	fountain	0	Springbrunnen
amenity	fountain	1	Springbrunnen
amenity	fuel	0	Tankstelle
amenity	fuel	1	Tankstellen
amenity	grave_yard	0	Friedhof
amenity	grave_yard	1	Friedhöfe
amenity	grit_bin	0	Streugutcontainer
amenity	grit_bin	1	Streugutcontainer
amenity	gym	0	Turnhalle
amenity	gym	1	Turnhallen
amenity	hospital	0	Krankenhaus
amenity	hospital	1	Krankenhäuser
amenity	hunting_stand	0	Hochstand
amenity	hunting_stand	1	Hochstände
amenity	ice_cream	0	Eisdiele
amenity	ice_cream	1	Eisdielen
amenity	kindergarten	0	Kindergarten
amenity	kindergarten	1	Kindergärten
amenity	library	0	Bücherei
amenity	library	1	Büchereien
amenity	motorcycle_parking	0	Motorradparkplatz
amenity	motorcycle_parking	1	Motorradparkplätze
amenity	nightclub	0	Nachtklub
amenity	nightclub	1	Nachtklubs
amenity	nursing_home	0	Pflegeheim
amenity	nursing_home	1	Pflegeheime
amenity	pharmacy	0	Apotheke
amenity	pharmacy	1	Apotheken
amenity	place_of_worship	0	Andachtsstätte
amenity	place_of_worship	1	Andachtsstätten
amenity	parking	0	Parkplatz
amenity	parking	1	Parkplätze
amenity	police	0	Polizei
amenity	police	1	Polizei
amenity	post_box	0	Briefkasten
amenity	post_box	1	Briefkästen
amenity	post_office	0	Postamt
amenity	post_office	1	Postämter
amenity	prison	0	Gefängnis
amenity	prison	1	Gefängnisse
amenity	pub	0	Kneipe
amenity	pub	1	Kneipen
amenity	public_building	0	öffentliches Gebäude
amenity	public_building	1	öffentliche Gebäude
amenity	recycling	0	Recyclingeinrichtung
amenity	recycling	1	Recyclingeinrichtungen
amenity	restaurant	0	Restaurant
amenity	restaurant	1	Restaurants
amenity	restaurant	0	Gaststätte
amenity	restaurant	1	Gaststätten
amenity	restaurant	0	Gasthaus
amenity	restaurant	1	Gasthäuser
amenity	retirement_home	0	Altersheim
amenity	retirement_home	1	Altersheime
amenity	sauna	0	Sauna
amenity	sauna	1	Saunen
amenity	school	0	Schule
amenity	school	1	Schulen
amenity	shelter	0	Schutzhütte
amenity	shelter	1	Schutzhütten
amenity	studio	0	Studio
amenity	studio	1	Studios
amenity	swingerclub	0	Swingerclub
amenity	swingerclub	1	Swingerclubs
amenity	taxi	0	Taxistand
amenity	taxi	1	Taxistände
amenity	telephone	0	Telefonzelle
amenity	telephone	1	Telefonzellen
amenity	theatre	0	Theater
amenity	theatre	1	Theater
amenity	toilets	0	WC
amenity	toilets	1	WCs
amenity	toilets	0	Toilette
amenity	toilets	1	Toiletten
amenity	townhall	0	Rathaus
amenity	townhall	1	Rathäuser
amenity	university	0	Universität
amenity	university	1	Universitäten
amenity	vending_machine	0	Automat
amenity	vending_machine	1	Automaten
amenity	veterinary	0	Tierarzt
amenity	veterinary	1	Tierärzte
amenity	waste_basket	0	Mülleimer
amenity	waste_basket	1	Mülleimer
boundary	administrative	0	Verwaltungsgrenze
boundary	administrative	1	Verwaltungsgrenzen
building	apartments	0	Wohnblock
building	apartments	1	Wohnblöcke
building	block	0	Gebäudeblock
building	block	1	Gebäudeblöcke
building	bunker	0	Bunker
building	bunker	1	Bunker
building	chapel	0	Kapelle
building	chapel	1	Kapellen
building	church	0	Kirche
building	church	1	Kirchen
building	city_hall	0	Rathaus
building	city_hall	1	Rathäuser
building	commercial	0	Gewerbegebäude
building	commercial	1	Gewerbegebäude
building	dormitory	0	Studentenwohnheim
building	dormitory	1	Studentenwohnheime
building	entrance	0	Eingang
building	entrance	1	Eingänge
building	faculty	0	Ausbildungsgebäude
building	faculty	1	Ausbildungsgebäude
building	farm	0	Bauernhof
building	farm	1	Bauernhöfe
building	flats	0	Wohnung
building	flats	1	Wohnungen
building	garage	0	Garage
building	garage	1	Garagen
building	hall	0	Halle
building	hall	1	Hallen
building	hospital	0	Spital
building	hospital	1	Spitäler
building	hotel	0	Hotel
building	hotel	1	Hotels
building	house	0	Haus
building	house	1	Häuser
building	industrial	0	Industriegebäude
building	industrial	1	Industriegebäude
building	office	0	Bürogebäude
building	office	1	Bürogebäude
building	public	0	öffentliches Gebäude
building	public	1	öffentliche Gebäude
building	residential	0	Wohngebäude
building	residential	1	Wohngebäude
building	retail	0	Einzelhandelsgebäude
building	retail	1	Einzelhandelsgebäude
building	school	0	Schulgebäude
building	school	1	Schulgebäude
building	shop	0	Geschäft
building	shop	1	Geschäfte
building	stadium	0	Stadion
building	stadium	1	Stadien
building	store	0	Warenhäuser
building	store	1	Warenhäuser
building	terrace	0	Terrasse
building	terrace	1	Terrassen
building	tower	0	Turm
building	tower	1	Türme
building	train_station	0	Bahnhof
building	train_station	1	Bahnhöfe
building	university	0	Universitätsgebäude
building	university	1	Universitätsgebäude
building	yes	0	Gebäude
building	yes	1	Gebäude
changing_table	yes	0	Wickeltisch
changing_table	yes	1	Wickeltische
emergency	fire_hydrant	0	Hydrant
emergency	fire_hydrant	1	Hydranten
highway	bridleway	0	Reitweg
highway	bridleway	1	Reitwege
highway	bus_guideway	0	Busspur
highway	bus_guideway	1	Busspuren
highway	bus_stop	0	Bushaltestelle
highway	bus_stop	1	Bushaltestellen
highway	byway	0	Umgehungsstraße
highway	byway	1	Umgehungstraßen
highway	construction	0	Straße im Bau
highway	construction	1	Straßen im Bau
highway	cycleway	0	Radweg
highway	cycleway	1	Radwege
highway	distance_marker	0	Kilometerstein
