key	value	is_plural	phrase
aeroway	aerodrome	0	Aéroport
aeroway	aerodrome	1	Aéroports
amenity	arts_centre	0	Centre artistique
amenity	arts_centre	1	Centres artistiques
amenity	atm	0	Distributeur automatique de billets
amenity	atm	1	Distributeurs automatiques de billets
amenity	bank	0	Banque
amenity	bank	1	Banques
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Banc
amenity	bench	1	Bancs
amenity	bicycle_parking	0	Parking à vélos
amenity	bicycle_parking	1	Parkings à vélos
amenity	bicycle_rental	0	Location de vélos
amenity	bicycle_rental	1	Locations de vélos
amenity	brothel	0	Bordel
amenity	brothel	1	Bordels
amenity	bureau_de_change	0	Bureau de change
amenity	bureau_de_change	1	Bureaux de change
amenity	bus_station	0	Arrêt de bus
amenity	bus_station	1	Arrêts de bus
amenity	cafe	0	Café
amenity	cafe	1	Cafés
amenity	car_rental	0	Location de voitures
amenity	car_rental	1	Locations de voitures
amenity	car_sharing	0	Covoiturage
amenity	car_sharing	1	Covoiturages
amenity	car_wash	0	Lavage de voitures
amenity	car_wash	1	Lavages de voitures
emergency	defibrillator	0	Défibrillateur
emergency	defibrillator	1	Défibrillateurs
emergency	defibrillator	0	DAE
shop	laundry	0	Laverie
shop	laundry	1	Laveries
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Cinéma
amenity	cinema	1	Cinémas
amenity	clinic	0	Clinique
amenity	clinic	1	Cliniques
amenity	college	0	Établissement d'enseignement supérieur
amenity	college	1	Établissements d'enseignement supérieur
amenity	community_centre	0	Salle polyvalente
amenity	community_centre	1	Salles polyvalentes
amenity	courthouse	0	Palais de justice
amenity	courthouse	1	Palais de justice
amenity	crematorium	0	Crématorium
amenity	crematorium	1	Crématoriums
amenity	dentist	0	Dentiste
amenity	dentist	1	Dentistes
amenity	doctors	0	Docteur
amenity	doctors	1	Docteurs
amenity	drinking_water	0	Eau potable
amenity	drinking_water	1	Eaux potables
amenity	driving_school	0	École de conduite
amenity	driving_school	1	Écoles de conduite
amenity	embassy	0	Ambassade
amenity	embassy	1	Ambassades
amenity	emergency_phone	0	Téléphone d'urgence
amenity	emergency_phone	1	Téléphones d'urgence
amenity	fast_food	0	Restauration rapide
amenity	fast_food	1	Restaurations rapides
amenity	ferry_terminal	0	Terminal de ferry
amenity	ferry_terminal	1	Terminaux de ferry
emergency	fire_hydrant	0	Bouche d'incendie
emergency	fire_hydrant	1	Bouches d'incendie
amenity	fire_station	0	Caserne de pompiers
amenity	fire_station	1	Casernes de pompiers
amenity	fountain	0	Fontaine
amenity	fountain	1	Fontaines
amenity	fuel	0	Carburant
amenity	fuel	1	Carburants
amenity	grave_yard	0	Cimetière
amenity	grave_yard	1	Cimetières
amenity	gym	0	Fitness
amenity	gym	1	Fitness
amenity	gym	0	Salle de gymnastique
amenity	gym	1	Salles de gymnastique
amenity	hospital	0	Hôpital
amenity	hospital	1	Hôpitaux
amenity	hunting_stand	0	Stand de tir
amenity	hunting_stand	1	Stands de tir
amenity	ice_cream	0	Crème glacée
amenity	ice_cream	1	Crèmes glacées
amenity	kindergarten	0	Jardin d'enfants
amenity	kindergarten	1	Jardins d'enfants
amenity	library	0	Bibliothèque
amenity	library	1	Bibliothèques
amenity	nightclub	0	Boîte de nuit
amenity	nightclub	1	Boîtes de nuit
amenity	nursing_home	0	Maison de santé
amenity	nursing_home	1	Maisons de santé
amenity	pharmacy	0	Pharmacie
amenity	pharmacy	1	Pharmacies
amenity	place_of_worship	0	Lieu de culte
amenity	place_of_worship	1	Lieux de culte
amenity	police	0	Police
amenity	police	1	Polices
amenity	post_box	0	Boîtes aux lettres
amenity	post_box	1	Boîtes aux lettres
amenity	post_office	0	Bureau de poste
amenity	post_office	1	Bureaux de poste
amenity	prison	0	Prison
amenity	prison	1	Prisons
amenity	pub	0	Bar
amenity	pub	1	Bars
amenity	public_building	0	Bâtiment public
amenity	public_building	1	Bâtimentss publics
amenity	recycling	0	Bulle à verre
amenity	recycling	1	Bulles à verre
amenity	recycling	0	Bulle
amenity	recycling	1	Bulles
amenity	recycling	0	Point de recyclage
amenity	recycling	1	Points de recyclage
amenity	restaurant	0	Restaurant
amenity	restaurant	1	Restaurants
amenity	retirement_home	0	Maison de retraite
amenity	retirement_home	1	Maisons de retraite
amenity	sauna	0	Sauna
amenity	sauna	1	Saunas
amenity	school	0	École
amenity	school	1	Écoles
amenity	shelter	0	Refuge
amenity	shelter	1	Refuges
amenity	studio	0	Studio
amenity	studio	1	Studios
amenity	taxi	0	Taxi
amenity	taxi	1	Taxis
amenity	telephone	0	Téléphone public
amenity	telephone	1	Téléphones publics
amenity	theatre	0	Théâtre
amenity	theatre	1	Théâtres
amenity	toilets	0	Toilettes
amenity	toilets	1	Toilettes
amenity	townhall	0	Hôtel de ville
amenity	townhall	1	Hôtels de ville
amenity	university	0	Université
amenity	university	1	Universités
amenity	vending_machine	0	Distributeur automatique
amenity	vending_machine	1	Distributeurs automatiques
amenity	veterinary	0	Vétérinaire
amenity	veterinary	1	Vétérinaires
amenity	waste_basket	0	Corbeille
amenity	waste_basket	1	Corbeilles
boundary	administrative	0	Limite administrative
boundary	administrative	1	Limites administratives
building	apartments	0	Immeuble
building	apartments	1	Immeubles
building	block	0	Immeuble
building	block	1	Immeubles
building	bunker	0	Bunker
building	bunker	1	Bunkers
building	chapel	0	Chapelle
building	chapel	1	Chapelles
building	church	0	Église
building	church	1	Églises
building	city_hall	0	Hôtel de ville
building	city_hall	1	Hôtels de ville
building	commercial	0	Bâtiment de bureaux
building	commercial	1	Bâtiments de bureaux
building	dormitory	0	Dortoir
building	dormitory	1	Dortoirs
building	entrance	0	Entrée de bâtiment
building	entrance	1	Entrées de bâtiment
building	faculty	0	Bâtiment de faculté
building	faculty	1	Bâtiments de faculté
building	farm	0	Bâtiment de ferme
building	farm	1	Bâtiments de fermes
building	flats	0	Appartements
building	flats	1	Appartements
building	garage	0	Garage
building	garage	1	Garages
building	hall	0	Salle
building	hall	1	Salles
building	hospital	0	Bâtiment hospitalier
building	hospital	1	Bâtiments hospitaliers
building	hotel	0	Hôtel
building	hotel	1	Hôtels
building	house	0	Maison
building	house	1	Maisons
building	industrial	0	Bâtiment industriel
building	industrial	1	Bâtiments industriels
building	office	0	Bâtiment de bureaux
building	office	1	Bâtiments de bureaux
building	public	0	Bâtiment public
building	public	1	Bâtiments publics
building	residential	0	Bâtiment résidentiel
building	residential	1	Bâtiments résidentiels
building	retail	0	Magasin
building	retail	1	Magasins
building	school	0	Bâtiment d'école
building	school	1	Bâtiments d'école
building	shop	0	Magasin
building	shop	1	Magasins
building	stadium	0	Stade
building	stadium	1	Stades
building	store	0	Magasin
building	store	1	Magasins
building	terrace	0	Terrasse
building	terrace	1	Terrasses
building	tower	0	Tour
building	tower	1	Tours
building	train_station	0	Gare ferroviaire
building	train_station	1	Gares ferroviaires
building	university	0	Bâtiment d'université
building	university	1	Bâtiments d'universités
building	&quot;yes&quot;	0	Bâtiment
building	&quot;yes&quot;	1	Bâtiments
highway	bridleway	0	Chemin pour cavaliers
highway	bridleway	1	Chemins pour cavaliers
highway	bus_guideway	0	Voie de bus guidée
highway	bus_guideway	1	Voies de bus guidées
highway	bus_stop	0	Arrêt de bus
highway	bus_stop	1	Arrêts de bus
highway	byway	0	Route secondaire
highway	byway	1	Routes secondaires
highway	construction	0	Route en construction
highway	construction	1	Routes en construction
highway	cycleway	0	Piste cyclable
highway	cycleway	1	Pistes cyclables
highway	distance_marker	0	Borne kilométrique
highway	distance_marker	1	Bornes kilométriques
highway	emergency_access_point	0	Point d'accès d'urgence
highway	emergency_access_point	1	Points d'accès d'urgence
highway	footway	0	Chemin piéton
highway	footway	1	Chemins piétons
highway	ford	0	Gué
highway	ford	1	Gués
highway	gate	0	Porte
highway	gate	1	Portes
highway	living_street	0	Rue résidentielle
highway	living_street	1	Rues résidentielles
highway	minor	0	Route mineure
highway	minor	1	Routes mineures
highway	motorway	0	Autoroute
highway	motorway	1	Autoroutes
highway	motorway_junction	0	Jonction d'autoroutes
highway	motorway_junction	1	Jonctions d'autoroutes
highway	motorway_link	0	Bretelle autoroutière
highway	motorway_link	1	Bretelles autoroutières
highway	path	0	Chemin
highway	path	1	Chemins
highway	pedestrian	0	Chemin piéton
highway	pedestrian	1	Chemins piétons
highway	platform	0	Plateforme
highway	platform	1	Plateformes
highway	primary	0	Route principale
highway	primary	1	Routes principales
highway	primary_link	0	Route principale
highway	primary_link	1	Routes principales
highway	raceway	0	Circuit
highway	raceway	1	Circuits
highway	residential	0	Rue Résidentiel
highway	residential	1	Rues Résidentielles
highway	road	0	Route
highway	road	1	Routes
highway	secondary	0	Route secondaire
highway	secondary	1	Routes secondaires
highway	secondary_link	0	Route secondaire
highway	secondary_link	1	Routes secondaires
highway	service	0	Voie de service
highway	service	1	Voies de services
highway	services	0	Aire de service
highway	services	1	Aires de service
highway	steps	0	Escalier
highway	steps	1	Escaliers
highway	stile	0	Échalier
highway	stile	1	Échaliers
highway	tertiary	0	Route tertiaire
highway	tertiary	1	Routes tertiaires
highway	track	0	Chemin
highway	track	1	Chemins
highway	trail	0	Piste
highway	trail	1	Pistes
highway	trunk	0	Voie express
highway	trunk	1	Voies express
highway	trunk_link	0	Bretelle de Voie express
highway	trunk_link	1	Bretelles de Voie express
highway	unclassified	0	Route mineure
highway	unclassified	1	Routes mineures
highway	unsurfaced	0	Route non revêtue
highway	unsurfaced	1	Routes non revêtues
