key	value	is_plural	phrase
aeroway	aerodrome	0	Zračna luka
aeroway	aerodrome	1	Zračna lukas
amenity	arts_centre	0	Umjetnički centar
amenity	arts_centre	1	Umjetnički centars
amenity	atm	0	Bankomat
amenity	atm	1	Bankomats
amenity	bank	0	Banka
amenity	bank	1	Bankas
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Klupa
amenity	bench	1	Klupas
amenity	bicycle_parking	0	Biciklistički parking
amenity	bicycle_parking	1	Biciklistički parkings
amenity	bicycle_rental	0	Rent a bicikl
amenity	bicycle_rental	1	Rent a bicikls
amenity	brothel	0	Bordel
amenity	brothel	1	Bordels
amenity	bureau_de_change	0	Mjenjačnica
amenity	bureau_de_change	1	Mjenjačnicas
amenity	bus_station	0	Autobusni kolodvor
amenity	bus_station	1	Autobusni kolodvors
amenity	cafe	0	Caffe bar
amenity	cafe	1	Caffe bars
amenity	car_rental	0	Rent-a-car
amenity	car_rental	1	Rent-a-cars
amenity	car_sharing	0	Carsharing
amenity	car_sharing	1	Carsharings
amenity	car_wash	0	Autopraonica
amenity	car_wash	1	Autopraonicas
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Kino
amenity	cinema	1	Kinos
amenity	clinic	0	Klinika
amenity	clinic	1	Klinikas
amenity	college	0	Fakultet
amenity	college	1	Fakultets
amenity	community_centre	0	Društveni centar
amenity	community_centre	1	Društveni centars
amenity	courthouse	0	Sud
amenity	courthouse	1	Suds
amenity	crematorium	0	Krematorij
amenity	crematorium	1	Krematorijs
amenity	dentist	0	Zubar
amenity	dentist	1	Zubars
amenity	doctors	0	Doktor
amenity	doctors	1	Doktors
amenity	drinking_water	0	Pitka voda
amenity	drinking_water	1	Pitka vodas
amenity	driving_school	0	Autoškola
amenity	driving_school	1	Autoškolas
amenity	embassy	0	Veleposlanstvo
amenity	embassy	1	Veleposlanstvos
amenity	emergency_phone	0	Telefon (S.O.S)
amenity	emergency_phone	1	Telefon (S.O.S)s
amenity	fast_food	0	Fast food
amenity	fast_food	1	Fast foods
amenity	ferry_terminal	0	Trajektni terminal
amenity	ferry_terminal	1	Trajektni terminals
emergency	fire_hydrant	0	Hidrant
emergency	fire_hydrant	1	Hidrants
amenity	fire_station	0	Vatrogasna postaja
amenity	fire_station	1	Vatrogasna postajas
amenity	fountain	0	Fontana
amenity	fountain	1	Fontanas
amenity	fuel	0	Benzinska
amenity	fuel	1	Benzinskas
amenity	grave_yard	0	Groblje
amenity	grave_yard	1	Grobljes
amenity	gym	0	Fitness centar
amenity	gym	1	Fitness centars
amenity	hospital	0	Bolnica
amenity	hospital	1	Bolnicas
amenity	hunting_stand	0	Čeka
amenity	hunting_stand	1	Čekas
amenity	ice_cream	0	Slastičarna
amenity	ice_cream	1	Slastičarnas
