key	value	is_plural	phrase
aeroway	aerodrome	0	Repülőtér
aeroway	aerodrome	1	Repülőterek
amenity	arts_centre	0	Művészeti központ
amenity	arts_centre	1	Művészeti központok
amenity	atm	0	Bankautomata
amenity	atm	1	Bankautomaták
amenity	bank	0	Bank
amenity	bank	1	Bankok
amenity	bar	0	Bár
amenity	bar	1	Bárok
amenity	bench	0	Pad
amenity	bench	1	Padok
amenity	bicycle_parking	0	Kerékpártároló
amenity	bicycle_parking	1	Kerékpártárolók
amenity	bicycle_rental	0	Kerékpárkölcsönző
amenity	bicycle_rental	1	Kerékpárkölcsönzők
amenity	brothel	0	Bordélyház
amenity	brothel	1	Bordélyházak
amenity	bureau_de_change	0	Pénzváltó
amenity	bureau_de_change	1	Pénzváltók
amenity	bus_station	0	Autóbuszállomás
amenity	bus_station	1	Autóbuszállomások
amenity	cafe	0	Kávézó
amenity	cafe	1	Kávézók
amenity	car_rental	0	Autókölcsönző
amenity	car_rental	1	Autókölcsönzők
amenity	car_sharing	0	Autómegosztó
amenity	car_sharing	1	Autómegosztók
amenity	car_wash	0	Autómosó
amenity	car_wash	1	Autómosók
amenity	casino	0	Kaszinó
amenity	casino	1	Kaszinók
amenity	cinema	0	Mozi
amenity	cinema	1	Mozik
amenity	clinic	0	Klinika
amenity	clinic	1	Klinikasák
amenity	college	0	Fõiskola
amenity	college	1	Főiskolák
amenity	community_centre	0	Művelődési központ
amenity	community_centre	1	Művelődési központok
amenity	courthouse	0	Bíróság
amenity	courthouse	1	Bíróságok
amenity	crematorium	0	Krematórium
amenity	crematorium	1	Krematóriumok
amenity	dentist	0	Fogorvos
amenity	dentist	1	Fogorvosok
amenity	doctors	0	Orvosi rendelő
amenity	doctors	1	Orvosi rendelők
amenity	drinking_water	0	Ivóvíz
amenity	drinking_water	1	Ivóvizek
amenity	driving_school	0	Autósiskola
amenity	driving_school	1	Autósiskolák
amenity	embassy	0	Nagykövetség
amenity	embassy	1	Nagykövetségek
amenity	emergency_phone	0	Segélyhívó
amenity	emergency_phone	1	Segélyhívók
amenity	fast_food	0	Gyorsétterem
amenity	fast_food	1	Gyorséttermek
amenity	ferry_terminal	0	Kompkikötő
amenity	ferry_terminal	1	Kompkikötők
emergency	fire_hydrant	0	Tűzcsap
emergency	fire_hydrant	1	Tűzcsapok
amenity	fire_station	0	Tűzoltóság
amenity	fire_station	1	Tűzoltóságok
amenity	fountain	0	Szökőkút
amenity	fountain	1	Szökőkutak
amenity	fuel	0	Benzinkút
amenity	fuel	1	Benzinkutak
amenity	grave_yard	0	Kis temető
amenity	grave_yard	1	Kis temetők
amenity	gym	0	Fitness- / Tornaterem
amenity	gym	1	Fitness- / Tornatermek
amenity	hospital	0	Kórház
amenity	hospital	1	Kórházak
amenity	hunting_stand	0	Magasles
amenity	hunting_stand	1	Magaslesek
amenity	ice_cream	0	Fagylaltozó
amenity	ice_cream	1	Fagylaltozók
amenity	kindergarten	0	Óvoda
amenity	kindergarten	1	Óvodák
amenity	library	0	Könyvtár
amenity	library	1	Könyvtárak
amenity	nightclub	0	Éjszakai bár
amenity	nightclub	1	Éjszakai bárok
amenity	nursing_home	0	Idősotthon
amenity	nursing_home	1	Idősotthonok
amenity	pharmacy	0	Gyógyszertár
amenity	pharmacy	1	Gyógyszertárak
amenity	place_of_worship	0	Templom
amenity	place_of_worship	1	Templomok
amenity	police	0	Rendőrség
amenity	police	1	Rendőrségek
amenity	post_box	0	Postaláda
amenity	post_box	1	Postaládák
amenity	post_office	0	Posta
amenity	post_office	1	Posták
amenity	prison	0	Börtön
amenity	prison	1	Börtönök
amenity	pub	0	Kocsma
amenity	pub	1	Kocsmák
amenity	public_building	0	Középület
amenity	public_building	1	Középületek
amenity	recycling	0	Szelektív hulladékgyűjtő
amenity	recycling	1	Szelektív hulladékgyűjtők
amenity	restaurant	0	Étterem
amenity	restaurant	1	Étteremek
amenity	retirement_home	0	Nyugdíjasotthon
