key	value	is_plural	phrase
aeroway	aerodrome	0	Aeroporto
aeroway	aerodrome	1	Aeroporti
amenity	animal_boarding	0	Pensione per animali
amenity	animal_boarding	1	Pensioni per animali
amenity	animal_shelter	0	Rifugio per animali
amenity	animal_shelter	1	Rifugio per animali
amenity	atm	0	Bancomat
amenity	atm	1	Bancomat
amenity	bank	0	Banca
amenity	bank	1	Banche
amenity	bar	0	Bar
amenity	bar	1	Bar
amenity	bench	0	Panchina
amenity	bench	1	Panchine
amenity	bicycle_parking	0	Parcheggio per biciclette
amenity	bicycle_parking	1	Parcheggi per biciclette
amenity	bicycle_rental	0	Stazione del bikesharing
amenity	bicycle_rental	1	Stazioni del bikesharing
amenity	brothel	0	Bordello
amenity	brothel	1	Bordelli
amenity	bureau_de_change	0	Cambiavalute
amenity	bureau_de_change	1	Cambiavalute
amenity	bureau_de_change	0	Cambia valute
amenity	bureau_de_change	1	Cambia valute
amenity	cafe	0	Caffè
amenity	cafe	1	Caffè
amenity	car_rental	0	Autonoleggio
amenity	car_rental	1	Autonoleggi
amenity	car_sharing	0	Stazione del carsharing
amenity	car_sharing	1	Stazioni del carsharing
amenity	car_wash	0	Autolavaggio
amenity	car_wash	1	Autolavaggi
amenity	casino	0	Casinò
amenity	casino	1	Casinò
amenity	charging_station	0	Stazione di ricarica elettrica
amenity	charging_station	1	Stazioni di ricarica elettrica
amenity	charging_station	0	Stazione di ricarica
amenity	charging_station	1	Stazioni di ricarica
amenity	charging_station	0	Colonnina di ricarica
amenity	charging_station	1	Colonnine di ricarica
amenity	cinema	0	Cinema
amenity	cinema	1	Cinema
amenity	college	0	Scuola superiore
amenity	college	1	Scuole superiori
amenity	courthouse	0	Tribunale
amenity	courthouse	1	Tribunali
amenity	crematorium	0	Crematorio
amenity	crematorium	1	Crematori
amenity	dentist	0	Dentista
amenity	dentist	1	Dentisti
amenity	drinking_water	0	Acqua
amenity	drinking_water	0	Acqua potabile
amenity	drinking_water	1	Fontanelle
