key	value	is_plural	phrase
aeroway	aerodrome	0	Аеродром
aeroway	aerodrome	1	Аеродромs
amenity	arts_centre	0	Дом на уметности
amenity	arts_centre	1	Дом на уметностиs
amenity	atm	0	Банкомат
amenity	atm	1	Банкоматs
amenity	bank	0	Банка
amenity	bank	1	Банкаs
amenity	bar	0	Бар
amenity	bar	1	Барs
amenity	bench	0	Клупа
amenity	bench	1	Клупаs
amenity	bicycle_parking	0	Велосипедско паркирање
amenity	bicycle_parking	1	Велосипедско паркирањеs
amenity	bicycle_rental	0	Изнајмување велосипеди
amenity	bicycle_rental	1	Изнајмување велосипедиs
amenity	brothel	0	Бордел
amenity	brothel	1	Борделs
amenity	bureau_de_change	0	Менувачница
amenity	bureau_de_change	1	Менувачницаs
amenity	bus_station	0	Автобуска станица
amenity	bus_station	1	Автобуска станицаs
amenity	cafe	0	Кафуле
amenity	cafe	1	Кафулеs
amenity	car_rental	0	Рент-а-кар
amenity	car_rental	1	Рент-а-карs
amenity	car_sharing	0	Изнајмување автомобил
amenity	car_sharing	1	Изнајмување автомобилs
amenity	car_wash	0	Автоперална
amenity	car_wash	1	Автопералнаs
amenity	casino	0	Казино
amenity	casino	1	Казиноs
amenity	cinema	0	Кино
amenity	cinema	1	Киноs
amenity	clinic	0	Клиника
amenity	clinic	1	Клиникаs
amenity	college	0	Колеџ
amenity	college	1	Колеџs
amenity	community_centre	0	Центар на заедница
amenity	community_centre	1	Центар на заедницаs
amenity	courthouse	0	Суд
amenity	courthouse	1	Судs
amenity	crematorium	0	Крематориум
amenity	crematorium	1	Крематориумs
amenity	dentist	0	Забар
amenity	dentist	1	Забарs
amenity	doctors	0	Доктори
amenity	doctors	1	Докториs
amenity	drinking_water	0	Питка вода
amenity	drinking_water	1	Питка водаs
amenity	driving_school	0	Автошкола
amenity	driving_school	1	Автошколаs
amenity	embassy	0	Амбасада
amenity	embassy	1	Амбасадаs
amenity	emergency_phone	0	Итен телефон
amenity	emergency_phone	1	Итен телефонs
amenity	fast_food	0	Брза храна
amenity	fast_food	1	Брза хранаs
amenity	ferry_terminal	0	Ферибот-терминал
amenity	ferry_terminal	1	Ферибот-терминалs
emergency	fire_hydrant	0	Противпожарен хидрант
emergency	fire_hydrant	1	Противпожарен хидрантs
amenity	fire_station	0	Пожарна
amenity	fire_station	1	Пожарнаs
amenity	fountain	0	Фонтана
amenity	fountain	1	Фонтанаs
amenity	fuel	0	Гориво
amenity	fuel	1	Горивоs
amenity	grave_yard	0	Гробишта
amenity	grave_yard	1	Гробиштаs
amenity	gym	0	Теретана / фитнес
amenity	gym	1	Теретана / фитнесs
amenity	hospital	0	Болница
amenity	hospital	1	Болницаs
amenity	hunting_stand	0	Ловечка кула
amenity	hunting_stand	1	Ловечка кулаs
amenity	ice_cream	0	Сладолед
amenity	ice_cream	1	Сладоледs
amenity	kindergarten	0	Градинка
amenity	kindergarten	1	Градинкаs
amenity	library	0	Библиотека
amenity	library	1	Библиотекаs
amenity	nightclub	0	Ноќен клуб
amenity	nightclub	1	Ноќен клубs
amenity	nursing_home	0	Старечки дом
amenity	nursing_home	1	Старечки домs
amenity	pharmacy	0	Аптека
amenity	pharmacy	1	Аптекаs
amenity	place_of_worship	0	Верски објект
amenity	place_of_worship	1	Верски објектs
amenity	police	0	Полиција
amenity	police	1	Полицијаs
amenity	post_box	0	Поштенско сандаче
amenity	post_box	1	Поштенско сандачеs
amenity	post_office	0	Пошта
amenity	post_office	1	Поштаs
amenity	prison	0	Затвор
amenity	prison	1	Затворs
amenity	pub	0	Пивница
amenity	pub	1	Пивницаs
amenity	public_building	0	Јавен објект
amenity	public_building	1	Јавен објектs
amenity	recycling	0	Рециклирање
amenity	recycling	1	Рециклирањеs
amenity	restaurant	0	Ресторан
amenity	restaurant	1	Ресторанs
amenity	retirement_home	0	Старечки дом
amenity	retirement_home	1	Старечки домs
amenity	sauna	0	Сауна
amenity	sauna	1	Саунаs
amenity	school	0	Училиште
amenity	school	1	Училиштеs
amenity	shelter	0	Засолниште
amenity	shelter	1	Засолништеs
amenity	studio	0	Студио
amenity	studio	1	Студиоs
amenity	taxi	0	Такси
amenity	taxi	1	Таксиs
amenity	telephone	0	Телефонска говорница
amenity	telephone	1	Телефонска говорницаs
amenity	theatre	0	Театар
amenity	theatre	1	Театарs
amenity	toilets	0	Тоалет
amenity	toilets	1	Тоалетs
amenity	townhall	0	Градски дом
amenity	townhall	1	Градски домs
amenity	university	0	Универзитет
amenity	university	1	Универзитетs
amenity	vending_machine	0	Вендинг-машина
amenity	vending_machine	1	Вендинг-машинаs
amenity	veterinary	0	Ветеринарна клиника
amenity	veterinary	1	Ветеринарна клиникаs
amenity	waste_basket	0	Корпа за отпадоци
amenity	waste_basket	1	Корпа за отпадоциs
boundary	administrative	0	Административна граница
boundary	administrative	1	Административна границаs
building	apartments	0	Станбен блок
building	apartments	1	Станбен блокs
building	block	0	Блок згради
building	block	1	Блок зградиs
building	bunker	0	Бункер
building	bunker	1	Бункерs
building	chapel	0	Капела
building	chapel	1	Капелаs
building	church	0	Црква
building	church	1	Цркваs
building	city_hall	0	Градски дом
building	city_hall	1	Градски домs
building	commercial	0	Комерцијална зграда
building	commercial	1	Комерцијална зградаs
building	dormitory	0	Студентски дом
building	dormitory	1	Студентски домs
building	entrance	0	Влез во зграда
building	entrance	1	Влез во зградаs
building	faculty	0	Факултетски објект
building	faculty	1	Факултетски објектs
building	farm	0	Земјоделски објект
building	farm	1	Земјоделски објектs
building	flats	0	Станови
building	flats	1	Становиs
building	garage	0	Гаража
building	garage	1	Гаражаs
building	hall	0	Сала
building	hall	1	Салаs
building	hospital	0	Болничка зграда
building	hospital	1	Болничка зградаs
building	hotel	0	Хотел
building	hotel	1	Хотелs
building	house	0	Куќа
building	house	1	Куќаs
building	industrial	0	Индустриски објект
building	industrial	1	Индустриски објектs
building	office	0	Деловна зграда
building	office	1	Деловна зградаs
building	public	0	Јавен објект
building	public	1	Јавен објектs
building	residential	0	Станбена зграда
building	residential	1	Станбена зградаs
building	retail	0	Продажен објект
building	retail	1	Продажен објектs
building	school	0	Школско здание
building	school	1	Школско зданиеs
building	shop	0	Дуќан
building	shop	1	Дуќанs
building	stadium	0	Стадион
building	stadium	1	Стадионs
building	store	0	Продавница
building	store	1	Продавницаs
building	terrace	0	Тераса
building	terrace	1	Терасаs
building	tower	0	Кула
building	tower	1	Кулаs
building	train_station	0	Железничка станица
building	train_station	1	Железничка станицаs
building	university	0	Универзитетска зграда
building	university	1	Универзитетска зградаs
building	&quot;yes&quot;	0	Зграда
building	&quot;yes&quot;	1	Зградаs
highway	bridleway	0	Коњски пат
highway	bridleway	1	Коњски патs
highway	bus_guideway	0	Автобуски шини
highway	bus_guideway	1	Автобуски шиниs
highway	bus_stop	0	Автобуска постојка
highway	bus_stop	1	Автобуска постојкаs
highway	byway	0	Спореден пат
highway	byway	1	Спореден патs
highway	construction	0	Автопат во изградба
highway	construction	1	Автопат во изградбаs
highway	cycleway	0	Велосипедска патека
highway	cycleway	1	Велосипедска патекаs
highway	distance_marker	0	Бележник на растојание
highway	distance_marker	1	Бележник на растојаниеs
highway	emergency_access_point	0	Прва помош
highway	emergency_access_point	1	Прва помошs
highway	footway	0	Тротоар
highway	footway	1	Тротоарs
highway	ford	0	Брод
highway	ford	1	Бродs
highway	gate	0	Порта
highway	gate	1	Портаs
highway	living_street	0	Маалска улица
highway	living_street	1	Маалска улицаs
highway	minor	0	Помал спореден пат
highway	minor	1	Помал спореден патs
highway	motorway	0	Автопат
highway	motorway	1	Автопатs
highway	motorway_junction	0	Клучка
highway	motorway_junction	1	Клучкаs
highway	motorway_link	0	Приклучен пат
highway	motorway_link	1	Приклучен патs
highway	path	0	Патека
highway	path	1	Патекаs
highway	pedestrian	0	Пешачка патека
highway	pedestrian	1	Пешачка патекаs
highway	platform	0	Платформа
highway	platform	1	Платформаs
highway	primary	0	Главен пат
highway	primary	1	Главен патs
highway	primary_link	0	Главен пат
highway	primary_link	1	Главен патs
highway	raceway	0	Тркачка патека
highway	raceway	1	Тркачка патекаs
highway	residential	0	Станбен
highway	residential	1	Станбенs
highway	road	0	Пат
highway	road	1	Патs
