key	value	is_plural	phrase
aeroway	aerodrome	0	Letisko
aeroway	aerodrome	1	Letiskos
amenity	arts_centre	0	Kultúrne stredisko
amenity	arts_centre	1	Kultúrne strediskos
amenity	atm	0	Bankomat
amenity	atm	1	Bankomats
amenity	bank	0	Banka
amenity	bank	1	Bankas
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Lavička
amenity	bench	1	Lavičkas
amenity	bicycle_parking	0	Parkovisko bicyklov
amenity	bicycle_parking	1	Parkovisko bicyklovs
amenity	bicycle_rental	0	Požičovňa bicyklov
amenity	bicycle_rental	1	Požičovňa bicyklovs
amenity	brothel	0	Nevestinec
amenity	brothel	1	Nevestinecs
amenity	bureau_de_change	0	Zmenáreň
amenity	bureau_de_change	1	Zmenáreňs
amenity	bus_station	0	Autobusová stanica
amenity	bus_station	1	Autobusová stanicas
amenity	cafe	0	Kaviareň
amenity	cafe	1	Kaviareňs
amenity	car_rental	0	Požičovňa áut
amenity	car_rental	1	Požičovňa áuts
amenity	car_sharing	0	Autopožičovňa
amenity	car_sharing	1	Autopožičovňas
amenity	car_wash	0	Autoumývareň
amenity	car_wash	1	Autoumývareňs
amenity	casino	0	Kasíno
amenity	casino	1	Kasínos
amenity	cinema	0	Kino
amenity	cinema	1	Kinos
amenity	clinic	0	Poliklinika
amenity	clinic	1	Poliklinikas
amenity	college	0	Vysoká škola
amenity	college	1	Vysoká školas
amenity	community_centre	0	Kultúrne stredisko
amenity	community_centre	1	Kultúrne strediskos
amenity	courthouse	0	Súd
amenity	courthouse	1	Súds
amenity	crematorium	0	Krematórium
amenity	crematorium	1	Krematóriums
amenity	dentist	0	Zubár
amenity	dentist	1	Zubárs
amenity	drinking_water	0	Pitná voda
amenity	drinking_water	1	Pitná vodas
amenity	driving_school	0	Autoškola
amenity	driving_school	1	Autoškolas
amenity	embassy	0	Veľvyslanectvo
amenity	embassy	1	Veľvyslanectvos
amenity	emergency_phone	0	Núdzový telefón
amenity	emergency_phone	1	Núdzový telefóns
amenity	fast_food	0	Rýchle občerstvenie
amenity	fast_food	1	Rýchle občerstvenies
amenity	ferry_terminal	0	Terminál trajektu
amenity	ferry_terminal	1	Terminál trajektus
emergency	fire_hydrant	0	Požiarny hydrant
emergency	fire_hydrant	1	Požiarny hydrants
amenity	fire_station	0	Požiarna stanica
amenity	fire_station	1	Požiarna stanicas
amenity	fountain	0	Fontána
amenity	fountain	1	Fontánas
amenity	fuel	0	Benzínová pumpa
amenity	fuel	1	Benzínová pumpas
amenity	grave_yard	0	Cintorín
amenity	grave_yard	1	Cintoríns
amenity	gym	0	Fitnes centrum / telocvičňa
amenity	gym	1	Fitnes centrum / telocvičňas
amenity	hospital	0	Nemocnica
amenity	hospital	1	Nemocnicas
amenity	hunting_stand	0	Poľovnícky posed
amenity	hunting_stand	1	Poľovnícky poseds
amenity	ice_cream	0	Zmrzlina
amenity	ice_cream	1	Zmrzlinas
amenity	kindergarten	0	Materská škola
amenity	kindergarten	1	Materská školas
amenity	library	0	Knižnica
amenity	library	1	Knižnicas
amenity	nightclub	0	'Nočný klub'
amenity	nightclub	1	'Nočný klub's
amenity	nursing_home	0	Sanatórium
amenity	nursing_home	1	Sanatóriums
amenity	pharmacy	0	lekáreň
amenity	pharmacy	1	lekáreňs
amenity	place_of_worship	0	Kostol
amenity	place_of_worship	1	Kostols
amenity	police	0	Polícia
amenity	police	1	Polícias
amenity	post_box	0	Poštová schránka
amenity	post_box	1	Poštová schránkas
amenity	post_office	0	Pošta
amenity	post_office	1	Poštas
amenity	prison	0	Väzenie
