key	value	is_plural	phrase
aeroway	aerodrome	0	Letališče
aeroway	aerodrome	1	Letališča
aeroway	aerodrome	0	Aerodrom
aeroway	aerodrome	1	Aerodromi
amenity	animal_boarding	0	Oskrba živali
amenity	animal_shelter	0	Zavetišče za živali
amenity	animal_shelter	1	Zavetišča za živali
amenity	arts_centre	0	Umetnostni center
amenity	arts_centre	1	Umetnostni centri
amenity	atm	0	Bankomat
amenity	atm	1	Bankomati
amenity	atm	0	Gotovina
amenity	bank	0	Banka
amenity	bank	1	Banke
amenity	bar	0	Bar
amenity	bar	1	Bari
amenity	pub	0	Bar
amenity	pub	1	Bari
amenity	pub	0	Pivnica
amenity	pub	1	Pivnice
amenity	bench	0	Klopca
amenity	bench	1	Klopce
amenity	bicycle_rental	0	Izposoja koles
amenity	bicycle_parking	0	Parkirišče za kolesa
amenity	bicycle_parking	1	Parkirišča za kolesa
amenity	bureau_de_change	0	Menjalnica
amenity	bureau_de_change	1	Menjalnice
amenity	bus_station	0	Avtobusna postaja
amenity	bus_station	1	Avtobusne postaje
highway	bus_stop	0	Avtobusna postaja
highway	bus_stop	1	Avtobusne postaje
amenity	cafe	0	Kavarna
amenity	cafe	1	Kavarne
amenity	car_rental	0	Rent-a-car
amenity	car_rental	0	Najem avtomobilov
amenity	car_rental	0	Najem avtomobila
amenity	car_sharing	0	Souporaba avtomobila
amenity	car_sharing	0	Souporaba avtomobilov
amenity	car_wash	0	Avtopralnica
amenity	car_wash	1	Avtopralnice
amenity	casino	0	Igralnica
amenity	casino	1	Igralnice
amenity	charging_station	0	Polnilna postaja
amenity	charging_station	1	Polnilne postaje
amenity	cinema	0	Kino
amenity	cinema	1	Kini
amenity	cinema	1	Kinematografi
amenity	clinic	0	Klinika
amenity	clinic	1	Klinike
amenity	college	0	Fakulteta
amenity	college	1	Fakultete
amenity	community_centre	0	Center skupnosti
amenity	community_centre	1	Centri skupnosti
amenity	courthouse	0	Sodišče
amenity	courthouse	1	Sodišča
amenity	crematorium	0	Krematorij
amenity	crematorium	1	Krematoriji
amenity	dentist	0	Zobozdravnik
amenity	dentist	1	Zobozdravniki
amenity	doctors	0	Zdravnik
amenity	doctors	1	Zdravniki
amenity	doctors	0	Doktor
amenity	doctors	1	Doktorji
amenity	dojo	0	Borilne veščine
amenity	dojo	0	Dodžo
amenity	dojo	0	Telovadnica
amenity	dojo	1	Telovadnice
amenity	drinking_water	0	Pitna voda
amenity	drinking_water	0	Voda
amenity	driving_school	0	Avtošola
amenity	driving_school	1	Avtošole
amenity	embassy	0	Veleposlaništvo
amenity	embassy	1	Veleposlaništva
amenity	emergency_phone	0	Klic v sili
amenity	fast_food	0	Hitra hrana
amenity	restaurant	0	Hrana
amenity	fast_food	0	Hrana
amenity	ferry_terminal	0	Trajekt
amenity	ferry_terminal	1	Trajekti
amenity	fire_station	0	Gasilska postaja
amenity	fire_station	1	Gasilske postaje
amenity	fire_station	0	Gasilski dom
amenity	fire_station	1	Gasilski domovi
amenity	fountain	0	Vodomet
amenity	fountain	1	Vodometi
amenity	fuel	0	Gorivo
amenity	fuel	0	Bencinska črpalka
amenity	fuel	1	Bencinske črpalke
amenity	fuel	0	Bencin
amenity	grave_yard	0	Pokopališče
amenity	grave_yard	1	Pokopališča
amenity	gym	0	Fitnes
amenity	gym	0	Fitnes center
amenity	gym	0	Fitnes centri
amenity	gym	0	Telovadnica
amenity	gym	1	Telovadnice
amenity	gym	0	Telovadba
amenity	hospital	0	Bolnišnica
amenity	hospital	1	Bolnišnice
amenity	hospital	0	Bolnica
amenity	hospital	1	Bolnice
amenity	hunting_stand	0	Lovska opazovalnica
amenity	hunting_stand	1	Lovska opazovalnice
amenity	ice_cream	0	Sladoled
amenity	kindergarten	0	Vrtec
amenity	kindergarten	1	Vrtci
amenity	library	0	Knjižnica
amenity	library	1	Knjižnice
amenity	nightclub	0	Nočni klub
amenity	nightclub	1	Nočni klubi
amenity	nursing_home	0	Dom za starejše
amenity	nursing_home	1	Domovi za starejše
amenity	nursing_home	0	Dom starejših
amenity	nursing_home	1	Domovi starejših
amenity	pharmacy	0	Lekarna
amenity	pharmacy	1	Lekarne
amenity	place_of_worship	0	Cerkev
amenity	place_of_worship	1	Cerkve
amenity	place_of_worship	0	Verski hram
amenity	place_of_worship	1	Verski hrami
amenity	police	0	Policija
amenity	post_box	0	Poštni nabiralnik
amenity	post_box	1	Poštni nabiralniki
amenity	post_office	0	Pošta
amenity	post_office	1	Pošte
amenity	prison	0	Zapor
amenity	prison	1	Zapori
amenity	pub	0	Gostilna
amenity	pub	1	Gostilne
amenity	public_building	0	Javna zgradba
amenity	public_building	1	Javne zgradbe
amenity	public_building	0	Javna stavba
amenity	recycling	0	Recikliranje
amenity	restaurant	0	Restavracija
amenity	restaurant	1	Restavracije
amenity	restaurant	0	Gostilna
amenity	restaurant	1	Gostilne
amenity	retirement_home	0	Dom za starejše
amenity	retirement_home	1	Domovi za starejše
amenity	retirement_home	0	Dom starejših
amenity	retirement_home	1	Domovi starejših
amenity	sauna	0	Savna
amenity	sauna	1	Savne
amenity	school	0	Šola
amenity	school	1	Šole
amenity	shelter	0	Zavetišče
amenity	shelter	1	Zavetišča
amenity	studio	0	Studio
amenity	studio	1	Studii
amenity	taxi	0	Taksi
amenity	taxi	1	Taksiji
amenity	telephone	0	Telefon
amenity	telephone	1	Telefoni
amenity	telephone	0	Javni telefon
amenity	telephone	1	Javni telefoni
amenity	telephone	0	Telefonska govorilnica
amenity	telephone	1	Telefonske govorilnice
amenity	theatre	0	Gledališče
amenity	theatre	1	Gledališča
amenity	toilets	0	Stranišče
amenity	toilets	1	Stranišča
amenity	townhall	0	Mestna hiša
amenity	townhall	1	Mestne hiše
amenity	university	0	Univerza
amenity	university	1	Univerze
amenity	vending_machine	0	Avtomat
amenity	vending_machine	1	Avtomati
amenity	veterinary	0	Veterinarska klinika
amenity	veterinary	1	Veterinarske klinike
amenity	veterinary	0	Veterinar
amenity	veterinary	1	Veterinarji
amenity	waste_basket	0	Koš za smeti
amenity	waste_basket	1	Koši za smeti
amenity	waste_basket	0	Smetnjak
amenity	waste_basket	1	Smetnjaki
amenity	waste_basket	0	Koš
amenity	waste_basket	1	Koši
building	apartments	0	Stanovanjski blok
building	apartments	1	Stanovanjski bloki
building	block	0	Blok
building	block	1	Bloki
building	bunker	0	Bunker
building	bunker	1	Bunkerji
building	chapel	0	Kapelica
building	chapel	1	Kapelice
building	church	0	Cerkev
building	church	1	Cerkve
building	city_hall	0	Mestna hiša
building	city_hall	1	Mestne hiše
building	commercial	0	Poslovna zgradba
building	commercial	1	Poslovne zgradbe
building	dormitory	0	Študenski dom
building	dormitory	1	Študenski domovi
building	entrance	0	Vhod v zgradbo
building	entrance	1	Vhodi v zgradbo
building	entrance	0	Vhod
building	entrance	1	Vhodi
building	faculty	0	Fakulteta
building	faculty	1	Fakultete
building	farm	0	Kmetijska zgradba
building	farm	1	Kmetijske zgradbe
building	flats	0	Stanovanje
building	flats	1	Stanovanja
building	garage	0	Garaža
building	garage	1	Garaže
building	hall	0	Dvorana
building	hall	1	Dvorane
building	hayrack	0	Kozolec
building	hayrack	1	Kozolci
note	kozolec	0	Kozolec
note	kozolec	1	Kozolci
building	hospital	0	Bolnišnična zgradba
building	hospital	1	Bolnišnične zgradbe
building	hospital	0	Bolnišnična stavba
building	hospital	1	Bolnišnične stavbe
building	hospital	0	Bolnišnica
building	hospital	1	Bolnišnice
building	hospital	0	Bolnica
building	hospital	1	Bolnice
building	hotel	0	Hotel
building	hotel	1	Hoteli
building	house	0	Hiša
building	house	1	Hiše
building	industrial	0	Industrijska zgradba
building	industrial	1	Industrijske zgradbe
building	industrial	0	Industrijska stavba
building	industrial	1	Industrijske stavbe
building	office	0	Poslovna zgradba
building	office	1	Poslovne zgradbe
building	office	0	Poslovna stavba
building	office	1	Poslovne stavbe
building	public	0	Javna zgradba
building	public	1	Javne zgradbe
building	public	0	Javna stavba
building	public	1	Javne stavbe
building	residential	0	Stanovanjska zgradba
building	residential	1	Stanovanjske zgradbe
building	residential	0	Stanovanjska stavba
building	residential	1	Stanovanjske stavbe
building	retail	0	Trgovska zgradba
building	retail	1	Trgovske zgradbe
building	retail	0	Trgovska stavba
building	retail	1	Trgovske stavbe
building	school	0	Šolsko poslopje
building	school	1	Šolska poslopja
building	shop	0	Trgovina
building	shop	1	Trgovine
building	stadium	0	Stadion
building	stadium	1	Stadioni
building	store	0	Trgovina
building	store	1	Trgovine
building	terrace	0	Vrstna hiša
building	terrace	1	Vrstne hiše
building	tower	0	Stolp
building	tower	1	Stolpi
building	train_station	0	Železniška postaja
building	train_station	1	Železniške postaje
building	train_station	0	Postaja
building	train_station	1	Postaje
building	university	0	Univerzitetna zgradba
building	university	1	Univerzitetne zgradbe
building	yes	0	Zgradba
building	yes	1	Zgradbe
craft	beekeeper	0	Čebelarstvo
craft	blacksmith	0	Kovaštvo
craft	brewery	0	Pivovarna
craft	brewery	1	Pivovarne
craft	chimney_sweeper	0	Dimnikar
craft	chimney_sweeper	1	Dimnikarji
craft	chimney_sweeper	0	Dimnikarstvo
craft	metal_construction	0	Jeklene konstrukcije
cuisine	pizza	0	Picerija
cuisine	pizza	1	Picerije
cuisine	pizza	0	Pica
cuisine	pizza	1	Pice
emergency	assembly_point	0	Zbirno mesto
emergency	assembly_point	1	Zbirna mesta
emergency	defibrillator	0	AED
emergency	defibrillator	0	Defibrilator
emergency	defibrillator	1	Defibrilatorji
emergency	fire_hydrant	0	Hidrant
emergency	fire_hydrant	1	Hidranti
emergency	yes	0	Intervencijska pot
emergency	yes	1	Intervencijske poti
service	emergency_access	0	Intervencijska pot
service	emergency_access	1	Intervencijske poti
emergency	yes	0	Dostop za intervencijska vozila
emergency	yes	1	Dostopi za intervecijska vozila
highway	emergency_access_point	0	Dostop za intervencijska vozila
highway	emergency_access_point	1	Dostopi za intervencijska vozila
service	emergency_access	0	Dostop za intervencijska vozila
service	emergency_access	1	Dostopi za intervencijska vozila
highway	bridleway	0	Jahalna pot
