key	value	is_plural	phrase
aeroway	aerodrome	0	Flygplats
aeroway	aerodrome	1	Flygplatser
amenity	atm	0	Bankomat
amenity	atm	1	Bankomater
amenity	bank	0	Bank
amenity	bank	1	Banker
amenity	bar	0	Bar
amenity	bar	1	Barer
amenity	bench	0	Bänk
amenity	bench	1	Bänkar
amenity	bicycle_parking	0	Cykelparkering
amenity	bicycle_parking	1	Cykelparkeringar
amenity	bicycle_rental	0	Cykeluthyrning
amenity	bicycle_rental	1	Cykeluthyrningar
amenity	brothel	0	Bordell
amenity	brothel	1	Bordeller
amenity	bureau_de_change	0	Växlingskontor
amenity	bureau_de_change	1	Växlingskontor
amenity	bus_station	0	Busstation
amenity	bus_station	1	Busstationer
amenity	car_rental	0	Biluthyrning
amenity	car_rental	1	Biluthyrningar
amenity	car_sharing	0	Bilpool
amenity	car_sharing	1	Bilpooler
amenity	car_wash	0	Biltvätt
amenity	car_wash	1	Biltvättar
amenity	cinema	0	Biograf
amenity	cinema	1	Biografer
amenity	crematorium	0	Krematorium
amenity	crematorium	1	Krematorier
amenity	dentist	0	Tandläkare
amenity	dentist	1	Tandläkare
amenity	doctors	0	Läkare
amenity	doctors	1	Läkare
amenity	drinking_water	0	Dricksvatten
amenity	drinking_water	1	Dricksvatten
amenity	driving_school	0	Körskola
amenity	driving_school	1	Körskolor
amenity	embassy	0	Ambassad
amenity	embassy	1	Ambassader
amenity	emergency_phone	0	Nödtelefon
amenity	emergency_phone	1	Nödtelefoner
amenity	fast_food	0	Snabbmat
amenity	fast_food	1	Snabbmat
amenity	ferry_terminal	0	Färjeterminal
amenity	ferry_terminal	1	Färjeterminaler
emergency	fire_hydrant	0	Brandpost
emergency	fire_hydrant	1	Brandposter
amenity	fire_station	0	Brandstation
amenity	fire_station	1	Brandstationer
amenity	fountain	0	Fontän
amenity	fountain	1	Fontäner
amenity	fuel	0	Bränsle
amenity	fuel	1	Bränslen
amenity	grave_yard	0	Begravningsplats
amenity	grave_yard	1	Begravningsplatser
amenity	hospital	0	Sjukhus
amenity	hospital	1	Sjukhus
amenity	ice_cream	0	Glass
amenity	ice_cream	1	Glass
amenity	kindergarten	0	Dagis
amenity	kindergarten	1	Dagis
amenity	library	0	Bibliotek
amenity	library	1	Bibliotek
amenity	nightclub	0	Nattklubb
amenity	nightclub	1	Nattklubbar
amenity	pharmacy	0	Apotek
amenity	pharmacy	1	Apotek
amenity	place_of_worship	0	Plats för tillbedjan
amenity	place_of_worship	1	Platser för tillbedjan
amenity	police	0	Polis
amenity	police	1	Poliser
amenity	post_office	0	Postkontor
amenity	post_office	1	Postkontor
amenity	prison	0	Fängelse
amenity	prison	1	Fängelser
amenity	pub	0	Pub
amenity	pub	1	Pubar
amenity	public_building	0	Offentlig byggnad
amenity	public_building	1	Offentliga byggnader
amenity	recycling	0	Återvinningsstation
amenity	recycling	1	Återvinningsstationer
amenity	restaurant	0	Restaurang
amenity	restaurant	1	Restauranger
amenity	retirement_home	0	Äldreboende
amenity	retirement_home	1	Äldreboenden
amenity	sauna	0	Bastu
amenity	sauna	1	Bastur
amenity	school	0	Skola
amenity	school	1	Skolor
amenity	taxi	0	Taxi
amenity	taxi	1	Taxis
amenity	theatre	0	Teater
amenity	theatre	1	Teatrar
amenity	toilets	0	Toalett
amenity	toilets	1	Toaletter
amenity	vending_machine	0	Varumaskin
amenity	vending_machine	1	Varumaskiner
amenity	veterinary	0	Veterinär
amenity	veterinary	1	Veterinärer
amenity	waste_basket	0	Papperskorg
amenity	waste_basket	1	Papperskorgar
building	chapel	0	Kapell
building	chapel	1	Kapell
building	church	0	Kyrka
building	church	1	Kyrkor
building	garage	0	Garage
building	garage	1	Garage
building	hospital	0	Sjukhusbyggnad
building	hospital	1	Sjukhusbyggnader
building	hotel	0	Hotell
building	hotel	1	Hotell
building	house	0	Hus
building	house	1	Hus
building	office	0	Kontorsbyggnad
building	office	1	Kontorsbyggnader
building	school	0	Skolbyggnad
building	school	1	Skolbyggnader
building	shop	0	Affär
building	shop	1	Affärer
building	terrace	0	Terass
building	terrace	1	Terasser
building	train_station	0	Järnvägsstation
building	train_station	1	Järnvägsstationer
highway	bus_stop	0	Busshållplats
highway	bus_stop	1	Busshållplatser
highway	construction	0	Väg under konstruktion
highway	construction	1	Vägar under konstruktion
highway	cycleway	0	Cykelspår
highway	cycleway	1	Cykelspår
highway	footway	0	Gångväg
highway	footway	1	Gångvägar
highway	gate	0	Grind
highway	gate	1	Grindar
highway	motorway	0	Motorväg
highway	motorway	1	Motorvägar
highway	pedestrian	0	Gångväg
highway	pedestrian	1	Gångvägar
highway	platform	0	Perrong
highway	platform	1	Perronger
highway	road	0	Väg
highway	road	1	Vägar
highway	steps	0	Trappa
highway	steps	1	Trappor
highway	trail	0	Vandringsled
highway	trail	1	Vandringsleder
highway	unsurfaced	0	Oasfalterad väg
highway	unsurfaced	1	Oasfalterade vägar
historic	archaeological_site	0	Arkeologisk plats
historic	archaeological_site	1	Arkeologiska platser
historic	battlefield	0	Slagfält
historic	battlefield	1	Slagfält
historic	boundary_stone	0	Gränssten
historic	boundary_stone	1	Gränsstenar
historic	building	0	Byggnad
historic	building	1	Byggnader
historic	castle	0	Slott
historic	castle	1	Slott
historic	mine	0	Gruva
historic	mine	1	Gruvor
historic	monument	0	Monument
historic	monument	1	Monument
historic	ruins	0	Ruin
historic	ruins	1	Ruiner
historic	wreck	0	Vrak
historic	wreck	1	Vrak
landuse	allotments	0	Kolonilott
landuse	allotments	1	Kolonilotter
landuse	cemetery	0	Begravningsplats
landuse	cemetery	1	Begravningsplatser
landuse	farm	0	Bondgård
landuse	farm	1	Bondgårdar
landuse	forest	0	Skog
landuse	forest	1	Skogar
landuse	industrial	0	Industriområde
landuse	industrial	1	Industriområden
landuse	military	0	Militärområde
landuse	military	1	Militärområden
landuse	residential	0	Bostadsområde
landuse	residential	1	Bostadsområden
landuse	vineyard	0	Vingård
landuse	vineyard	1	Vingårdar
leisure	fishing	0	Fiskevatten
leisure	fishing	1	Fiskevatten
leisure	garden	0	Trädgård
leisure	garden	1	Trädgårdar
leisure	golf_course	0	Golfbana
leisure	golf_course	1	Golfbanor
leisure	ice_rink	0	Isrink
leisure	ice_rink	1	Isrinkar
leisure	marina	0	Marina
leisure	marina	1	Marinor
leisure	miniature_golf	0	Minigolf
leisure	miniature_golf	1	Minigolf
leisure	nature_reserve	0	Naturreservat
leisure	nature_reserve	1	Naturreservat
leisure	park	0	Park
leisure	park	1	Parker
leisure	playground	0	Lekplats
leisure	playground	1	Lekplatser
leisure	sports_centre	0	Sporthall
leisure	sports_centre	1	Sporthallar
leisure	stadium	0	Stadium
leisure	stadium	1	Stadiums
leisure	water_park	0	Vattenpark
leisure	water_park	1	Vattenparker
natural	bay	0	Bukt
natural	bay	1	Bukter
natural	beach	0	Strand
natural	beach	1	Stränder
natural	cape	0	Udde
natural	cape	1	Uddar
natural	cave_entrance	0	Grottmynning
natural	cave_entrance	1	Grottmynningar
natural	cliff	0	Klippa
natural	cliff	1	Klippor
natural	coastline	0	Kustlinje
natural	coastline	1	Kustlinjer
natural	glacier	0	Glaciär
natural	glacier	1	Glaciärer
natural	marsh	0	Träsk
natural	marsh	1	Träsk
natural	moor	0	Hed
natural	moor	1	Hedar
natural	mud	0	Lera
natural	mud	1	Leror
natural	peak	0	Topp
natural	peak	1	Toppar
natural	reef	0	Rev
natural	reef	1	Rev
natural	rock	0	Klippa
natural	rock	1	Klippor
natural	scree	0	Taluskon
natural	scree	1	Taluskoner
natural	shoal	0	Sandbank
natural	shoal	1	Sandbankar
natural	spring	0	Källa
natural	spring	1	Källor
natural	tree	0	Träd
natural	tree	1	Träd
natural	valley	0	Dal
natural	valley	1	Dalar
natural	volcano	0	Vulkan
natural	volcano	1	Vulkaner
natural	water	0	Vatten
natural	water	1	Vatten
natural	wetland	0	Våtmark
natural	wetland	1	Våtmarker
natural	wood	0	Skog
natural	wood	1	Skogar
place	city	0	Stad
place	city	1	Städer
place	country	0	Land
place	country	1	Länder
place	county	0	Län
place	county	1	Län
place	farm	0	Bondgård
place	farm	1	Bondgårdar
place	hamlet	0	By
place	hamlet	1	Byar
place	house	0	Hus
place	house	1	Hus
place	houses	0	Hus
place	houses	1	Hus
place	island	0	Ö
place	island	1	Öar
place	islet	0	Holme
place	islet	1	Holmar
place	municipality	0	Kommun
place	municipality	1	Kommuner
place	region	0	Region
place	region	1	Regioner
place	sea	0	Hav
place	sea	1	Hav
place	suburb	0	Förort
place	suburb	1	Förorter
place	town	0	Ort
place	town	1	Orter
place	village	0	Mindre ort
place	village	1	Mindre orter
railway	funicular	0	Bergbana
railway	funicular	1	Bergbanor
railway	light_rail	0	Spårvagn
railway	light_rail	1	Spårvagnar
railway	narrow_gauge	0	Smalspårsjärnväg
railway	narrow_gauge	1	Smalspårsjärnvägar
railway	platform	0	Tågperrong
railway	platform	1	Tågperronger
railway	station	0	Tågstation
railway	station	1	Tågstationer
railway	subway_entrance	0	Tunnelbaneingång
railway	subway_entrance	1	Tunnelbaneingångar
shop	bakery	0	Bageri
shop	bakery	1	Bagerier
shop	bicycle	0	Cykelaffär
shop	bicycle	1	Cykelaffärer
shop	books	0	Bokhandel
shop	books	1	Bokhandlar
shop	butcher	0	Slaktare
shop	butcher	1	Slaktare
shop	car_parts	0	Bildelar
shop	car_parts	1	Bildelar
shop	car_repair	0	Bilverkstad
shop	car_repair	1	Bilverkstäder
shop	computer	0	Datorbutik
shop	computer	1	Datorbutiker
shop	convenience	0	Närköp
shop	convenience	1	Närköp
shop	dry_cleaning	0	Kemtvätt
shop	dry_cleaning	1	Kemtvättar
shop	florist	0	Blommor
shop	florist	1	Blommor
shop	food	0	Mataffär
shop	food	1	Mataffärer
shop	funeral_directors	0	Begravningsbyrå
shop	funeral_directors	1	Begravningsbyråer
shop	hairdresser	0	Frisör
shop	hairdresser	1	Frisörer
office	insurance	0	Försäkring
office	insurance	1	Försäkringar
shop	jewelry	0	Guldsmed
shop	jewelry	1	Guldsmeder
shop	kiosk	0	Kiosk
shop	kiosk	1	Kiosker
shop	mall	0	Köpcentrum
shop	mall	1	Köpcentrum
shop	optician	0	Optiker
shop	optician	1	Optiker
shop	pet	0	Djuraffär
shop	pet	1	Djuraffärer
shop	photo	0	Fotoaffär
shop	photo	1	Fotoaffärer
shop	salon	0	Salong
shop	salon	1	Salonger
shop	shoes	0	Skoaffär
shop	shoes	1	Skoaffärer
shop	toys	0	Leksaksaffär
shop	toys	1	Leksaksaffärer
shop	travel_agency	0	Resebyrå
shop	travel_agency	1	Resebyråer
tourism	alpine_hut	0	Fjällbod
tourism	alpine_hut	1	Fjällbodar
tourism	artwork	0	Konstverk
tourism	artwork	1	Konstverk
tourism	attraction	0	Attraktion
tourism	attraction	1	Attraktioner
tourism	camp_site	0	Campingplats
tourism	camp_site	1	Campingplatser
