key	value	is_plural	phrase
aeroway	aerodrome	0	Аеропорт
aeroway	aerodrome	1	Аеропортs
amenity	arts_centre	0	Мистецький центр
amenity	arts_centre	1	Мистецький центрs
amenity	atm	0	Банкомат
amenity	atm	1	Банкоматs
amenity	bank	0	Банк
amenity	bank	1	Банкs
amenity	bar	0	Бар
amenity	bar	1	Барs
amenity	bench	0	Лавка
amenity	bench	1	Лавкаs
amenity	bicycle_parking	0	Місце стоянки для велосипедів
amenity	bicycle_parking	1	Місце стоянки для велосипедівs
amenity	bicycle_rental	0	Прокат велосипедів
amenity	bicycle_rental	1	Прокат велосипедівs
amenity	brothel	0	Бордель
amenity	brothel	1	Бордельs
amenity	bureau_de_change	0	Обмін валют
amenity	bureau_de_change	1	Обмін валютs
amenity	bus_station	0	Автовокзал
amenity	bus_station	1	Автовокзалs
amenity	cafe	0	Кафе
amenity	cafe	1	Кафеs
amenity	car_rental	0	Прокат автомобілів
amenity	car_rental	1	Прокат автомобілівs
amenity	car_sharing	0	Прокат авто
amenity	car_sharing	1	Прокат автоs
amenity	car_wash	0	Автомийка
amenity	car_wash	1	Автомийкаs
amenity	casino	0	Казино
amenity	casino	1	Казиноs
amenity	cinema	0	Кинотеатр
amenity	cinema	1	Кинотеатрs
amenity	clinic	0	Клініка
amenity	clinic	1	Клінікаs
amenity	college	0	Коледж
amenity	college	1	Коледжs
amenity	community_centre	0	Громадський центр
amenity	community_centre	1	Громадський центрs
amenity	courthouse	0	Суд
amenity	courthouse	1	Судs
amenity	crematorium	0	Крематорій
amenity	crematorium	1	Крематорійs
amenity	dentist	0	Стоматологія
amenity	dentist	1	Стоматологіяs
amenity	doctors	0	Лікарі
amenity	doctors	1	Лікаріs
amenity	drinking_water	0	Питна вода
amenity	drinking_water	1	Питна водаs
amenity	driving_school	0	Автошкола
amenity	driving_school	1	Автошколаs
amenity	embassy	0	Амбасада
amenity	embassy	1	Амбасадаs
amenity	emergency_phone	0	Телефон для екстрених викликів
amenity	emergency_phone	1	Телефон для екстрених викликівs
amenity	fast_food	0	Швидке харчування
amenity	fast_food	1	Швидке харчуванняs
amenity	ferry_terminal	0	Поромна станція
amenity	ferry_terminal	1	Поромна станціяs
emergency	fire_hydrant	0	Пожежний гідрант
emergency	fire_hydrant	1	Пожежний гідрантs
amenity	fire_station	0	Пожежна станція
amenity	fire_station	1	Пожежна станціяs
amenity	fountain	0	Фонтан
amenity	fountain	1	Фонтанs
amenity	fuel	0	Пальне
amenity	fuel	1	Пальнеs
amenity	grave_yard	0	Цвинтар
amenity	grave_yard	1	Цвинтарs
amenity	gym	0	Тренажерний зал
