key	value	is_plural	phrase
aeroway	aerodrome	0	Aerborzh
aeroway	aerodrome	1	Aerborzhioù
amenity	arts_centre	0	Kreizenn arz
amenity	arts_centre	1	Kreizennoù arz
amenity	atm	0	Bilhedaouer
amenity	atm	1	Bilhedaouerioù
amenity	bank	0	Ti-bank
amenity	bank	1	Ti-banks
amenity	bar	0	Tavarn
amenity	bar	1	Tavarns
amenity	bench	0	Skaoñ
amenity	bench	1	Skaoñs
amenity	bicycle_parking	0	Parklec'h evit ar beloioù
amenity	bicycle_parking	1	Parklec'h evit ar beloioùs
amenity	bicycle_rental	0	Feurmiñ beloioù
amenity	bicycle_rental	1	Feurmiñ beloioùs
amenity	brothel	0	Bordel
amenity	brothel	1	Bordels
amenity	bureau_de_change	0	Burev eskemm
amenity	bureau_de_change	1	Burev eskemms
amenity	bus_station	0	Arsav bus
amenity	bus_station	1	Arsav buss
amenity	cafe	0	Kafedi
amenity	cafe	1	Kafedis
amenity	car_rental	0	Feurmiñ kirri
amenity	car_rental	1	Feurmiñ kirris
amenity	car_sharing	0	Leur genweturañ
amenity	car_sharing	1	Leur genweturañs
amenity	car_wash	0	Gwalc'hiñ kirri
amenity	car_wash	1	Gwalc'hiñ kirris
amenity	casino	0	Kazino
amenity	casino	1	Kazinos
amenity	cinema	0	Sinema
amenity	cinema	1	Sinemas
amenity	clinic	0	Klinikenn
amenity	clinic	1	Klinikenns
amenity	college	0	Skol-veur pe skol-uhel
amenity	college	1	Skol-veur pe skol-uhels
amenity	community_centre	0	Sal liezimplij
amenity	community_centre	1	Sal liezimplijs
amenity	courthouse	0	Lez-varn
amenity	courthouse	1	Lez-varns
amenity	crematorium	0	Krematoriom
amenity	crematorium	1	Krematorioms
amenity	dentist	0	Dentour
amenity	dentist	1	Dentours
amenity	doctors	0	Mezeien
amenity	doctors	1	Mezeiens
amenity	drinking_water	0	Dour mat da evañ
amenity	drinking_water	1	Dour mat da evañs
amenity	driving_school	0	Skol bleinañ
amenity	driving_school	1	Skol bleinañs
amenity	embassy	0	Kannati
amenity	embassy	1	Kannatis
amenity	emergency_phone	0	Pellgomzer evit an trummadoù
amenity	emergency_phone	1	Pellgomzer evit an trummadoùs
amenity	fast_food	0	Fast Food
amenity	fast_food	1	Fast Foods
amenity	ferry_terminal	0	Porzh karrlistri
amenity	ferry_terminal	1	Porzh karrlistris
emergency	fire_hydrant	0	Dour evit an tan
emergency	fire_hydrant	1	Dour evit an tans
amenity	fire_station	0	Kazarn pomperien
amenity	fire_station	1	Kazarn pomperiens
amenity	fountain	0	Feunteun
amenity	fountain	1	Feunteuns
amenity	fuel	0	Trelosk
amenity	fuel	1	Trelosks
amenity	grave_yard	0	Bered
amenity	grave_yard	1	Bereds
amenity	gym	0	Fitness/jiminas
amenity	gym	1	Fitness/jiminass
amenity	hospital	0	Ospital
amenity	hospital	1	Ospitals
amenity	hunting_stand	0	Stand tennañ
amenity	hunting_stand	1	Stand tennañs
amenity	ice_cream	0	Dienn skorn
amenity	ice_cream	1	Dienn skorns
amenity	kindergarten	0	Liorzh ar vugale
amenity	kindergarten	1	Liorzh ar vugales
amenity	library	0	Levraoueg
amenity	library	1	Levraouegs
amenity	nightclub	0	Klub-noz
amenity	nightclub	1	Klub-nozs
amenity	nursing_home	0	Ti yec'hed
amenity	nursing_home	1	Ti yec'heds
amenity	pharmacy	0	Apotikerezh
amenity	pharmacy	1	Apotikerezhs
amenity	place_of_worship	0	Lec'h azeuliñ
amenity	place_of_worship	1	Lec'h azeuliñs
amenity	police	0	Polis
amenity	police	1	Poliss
amenity	post_box	0	Boest-lizheroù
amenity	post_box	1	Boest-lizheroùs
amenity	post_office	0	Ti-post
amenity	post_office	1	Ti-posts
amenity	prison	0	Toull-bac'h
amenity	prison	1	Toull-bac'hs
amenity	pub	0	Tavarn
amenity	pub	1	Tavarns
amenity	public_building	0	Savadur foran
amenity	public_building	1	Savadur forans
amenity	recycling	0	Lec'h adaozañ
amenity	recycling	1	Lec'h adaozañs
amenity	restaurant	0	Preti
amenity	restaurant	1	Pretis
amenity	retirement_home	0	Ti-retredidi
amenity	retirement_home	1	Ti-retredidis
amenity	sauna	0	Saona
amenity	sauna	1	Saonas
amenity	school	0	Skol
amenity	school	1	Skols
amenity	shelter	0	Gwasked
amenity	shelter	1	Gwaskeds
amenity	studio	0	Studio
amenity	studio	1	Studios
amenity	taxi	0	Taksi
amenity	taxi	1	Taksis
amenity	telephone	0	Pellgomzer foran
amenity	telephone	1	Pellgomzer forans
amenity	theatre	0	C'hoariva
amenity	theatre	1	C'hoarivas
amenity	toilets	0	Privezioù
amenity	toilets	1	Privezioùs
amenity	townhall	0	Ti-kêr
amenity	townhall	1	Ti-kêrs
amenity	university	0	Skol-veur
amenity	university	1	Skol-veurs
amenity	vending_machine	0	Ingaler emgefre
amenity	vending_machine	1	Ingaler emgefres
amenity	veterinary	0	Surjianerezh evit al loened
amenity	veterinary	1	Surjianerezh evit al loeneds
amenity	waste_basket	0	Pod-lastez
amenity	waste_basket	1	Pod-lastezs
boundary	administrative	0	Bevennoù melestradurel
boundary	administrative	1	Bevennoù melestradurels
building	apartments	0	Kendi
building	apartments	1	Kendis
building	block	0	Kendi
building	block	1	Kendis
building	bunker	0	Bunker
building	bunker	1	Bunkers
building	chapel	0	Chapel
building	chapel	1	Chapels
building	church	0	Iliz
building	church	1	Ilizs
building	city_hall	0	Ti-kêr
building	city_hall	1	Ti-kêrs
building	commercial	0	Savadur gant burevioù
building	commercial	1	Savadur gant burevioùs
building	dormitory	0	Kouskva
building	dormitory	1	Kouskvas
building	entrance	0	Dont-tre ar savadur
building	entrance	1	Dont-tre ar savadurs
building	faculty	0	Savadur kevrenn
building	faculty	1	Savadur kevrenns
building	farm	0	Savadur feurm
building	farm	1	Savadur feurms
building	flats	0	Ranndioù
building	flats	1	Ranndioùs
building	garage	0	Karrdi
building	garage	1	Karrdis
building	hall	0	Sal
building	hall	1	Sals
building	hospital	0	Savadur ospital
building	hospital	1	Savadur ospitals
building	hotel	0	Leti
building	hotel	1	Letis
building	house	0	Ti
building	house	1	Tis
building	industrial	0	Savadurioù greantel
building	industrial	1	Savadurioù greantels
building	office	0	Savadur burevioù
building	office	1	Savadur burevioùs
building	public	0	Savadur foran
building	public	1	Savadur forans
building	residential	0	Savadur annez
building	residential	1	Savadur annezs
