key	value	is_plural	phrase
aeroway	aerodrome	0	Aeroport
aeroway	aerodrome	1	Aeroports
amenity	atm	0	Caixer automàtic
amenity	atm	1	Caixers automàtics
amenity	bank	0	Banc
amenity	bank	1	Bancs
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Banc
amenity	bench	1	Bancs
amenity	bicycle_rental	0	Lloguer de bicicletes
amenity	bicycle_rental	1	Lloguers de bicicletes
amenity	brothel	0	Prostíbul
amenity	brothel	1	Prostíbuls
amenity	bureau_de_change	0	Oficina de canvi
amenity	bureau_de_change	1	Oficines de canvi
amenity	bus_station	0	Estació d'autobusos
amenity	bus_station	1	Estacions d'autobusos
amenity	cafe	0	Cafè
amenity	cafe	1	Cafès
amenity	car_rental	0	Lloguer de cotxes
amenity	car_rental	1	Lloguers de cotxes
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Cinema
amenity	cinema	1	Cinemes
amenity	clinic	0	Clínica
amenity	clinic	1	Clíniques
amenity	courthouse	0	Jutjat
amenity	courthouse	1	Jutjats
amenity	crematorium	0	Crematori
amenity	crematorium	1	Crematoris
amenity	dentist	0	Dentista
amenity	dentist	1	Dentistes
amenity	doctors	0	Metge
amenity	doctors	1	Metges
amenity	drinking_water	0	Aigua potable
amenity	drinking_water	1	Aigües potables
amenity	driving_school	0	Autoescola
amenity	driving_school	1	Autoescoles
amenity	embassy	0	Ambaixada
amenity	embassy	1	Ambaixades
amenity	emergency_phone	0	Telèfon d'emergència
amenity	emergency_phone	1	Telèfons d'emergència
amenity	fire_station	0	Parc de bombers
amenity	fire_station	1	Parcs de bombers
amenity	fountain	0	Font
amenity	fountain	1	Fonts
amenity	fuel	0	Gasolinera
amenity	fuel	1	Gasolineres
amenity	grave_yard	0	Cementiri
amenity	grave_yard	1	Cementiris
amenity	hospital	0	Hospital
amenity	hospital	1	Hospitals
amenity	ice_cream	0	Gelat
amenity	ice_cream	1	Gelats
amenity	kindergarten	0	Jardí d'infància
amenity	kindergarten	1	Jardins d'infància
amenity	library	0	Biblioteca
amenity	library	1	Biblioteques
amenity	nightclub	0	Club nocturn
amenity	nightclub	1	Clubs nocturns
amenity	pharmacy	0	Farmàcia
amenity	pharmacy	1	Farmàcies
amenity	place_of_worship	0	Lloc de culte
amenity	place_of_worship	1	Llocs de culte
amenity	police	0	Policia
amenity	police	1	Policies
amenity	post_box	0	Bústia
amenity	post_box	1	Bústies
amenity	post_office	0	Oficina de correus
amenity	post_office	1	Oficines de correus
amenity	prison	0	Presó
amenity	prison	1	Presons
amenity	pub	0	Pub
amenity	pub	1	Pubs
amenity	public_building	0	Edifici públic
amenity	public_building	1	Edificis públics
amenity	recycling	0	Punt de reciclatge
amenity	recycling	1	Punts de reciclatge
amenity	restaurant	0	Restaurant
amenity	restaurant	1	Restaurants
amenity	sauna	0	Sauna
amenity	sauna	1	Saunes
amenity	school	0	Escola
amenity	school	1	Escoles
amenity	shelter	0	Refugi
