key	value	is_plural	phrase
aeroway	aerodrome	0	Airport
aeroway	aerodrome	1	Airports
amenity	animal_boarding	0	Animal boarding facility
amenity	animal_boarding	1	Animal boarding facilities
amenity	animal_shelter	0	Animal shelter
amenity	animal_shelter	1	Animal shelters
amenity	arts_centre	0	Arts Centre
amenity	arts_centre	1	Arts Centres
amenity	arts_centre	0	Arts Center
amenity	arts_centre	1	Arts Centers
amenity	atm	0	ATM
amenity	atm	1	ATMs
amenity	atm	0	cash
amenity	atm	1	cash
amenity	atm	0	cash machine
amenity	atm	1	cash machines
amenity	bank	0	Bank
amenity	bank	1	Banks
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	pub	0	Bar
amenity	pub	1	Bars
amenity	bench	0	Bench
amenity	bench	1	Benches
amenity	bicycle_parking	0	Cycle Parking
amenity	bicycle_parking	1	Cycle Parkings
amenity	bicycle_rental	0	Cycle Rental
amenity	bicycle_rental	1	Cycle Rentals
amenity	bicycle_parking	0	Bicycle Parking
amenity	bicycle_parking	1	Bicycle Parkings
amenity	bicycle_rental	0	Bicycle Rental
amenity	bicycle_rental	1	Bicycle Rentals
amenity	biergarten	0	Beer garden
amenity	biergarten	1	Beer gardens
amenity	brothel	0	Brothel
amenity	brothel	1	Brothels
amenity	bureau_de_change	0	Bureau de Change
amenity	bureau_de_change	1	Bureau de Changes
amenity	bureau_de_change	1	Bureaus de Change
amenity	bus_station	0	Bus Station
amenity	bus_station	1	Bus Stations
amenity	cafe	0	Cafe
amenity	cafe	1	Cafes
amenity	car_rental	0	Car Rental
amenity	car_rental	1	Car Rentals
amenity	car_sharing	0	Car Share
amenity	car_sharing	0	Car Sharing
amenity	car_sharing	1	Car Sharings
amenity	car_wash	0	Car Wash
amenity	car_wash	1	Car Washes
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Cinema
amenity	cinema	1	Cinemas
amenity	clinic	0	Clinic
amenity	clinic	1	Clinics
amenity	college	0	College
amenity	college	1	Colleges
amenity	community_centre	0	Community Centre
amenity	community_centre	1	Community Centres
amenity	community_centre	0	Community Center
amenity	community_centre	1	Community Centers
amenity	courthouse	0	Courthouse
amenity	courthouse	1	Courthouses
amenity	crematorium	0	Crematorium
amenity	crematorium	1	Crematoriums
amenity	dentist	0	Dentist
amenity	dentist	1	Dentists
amenity	doctors	0	Doctor
amenity	doctors	1	Doctors
amenity	dojo	0	Martial Arts
amenity	dojo	1	Martial Arts
amenity	dojo	0	Dojo
amenity	dojo	1	Dojos
amenity	dojo	0	Dojang
amenity	dojo	1	Dojang
amenity	drinking_water	0	Drinking Water
amenity	drinking_water	0	Water
amenity	driving_school	0	Driving School
amenity	driving_school	1	Driving Schools
amenity	embassy	0	Embassy
amenity	embassy	1	Embassys
amenity	embassy	1	Embassies
amenity	emergency_phone	0	Emergency Phone
amenity	emergency_phone	1	Emergency Phones
amenity	fast_food	0	Fast Food
amenity	restaurant	0	Food
amenity	fast_food	0	Food
amenity	restaurant	1	Food
amenity	fast_food	1	Food
amenity	ferry_terminal	0	Ferry Terminal
amenity	ferry_terminal	1	Ferry Terminals
emergency	fire_hydrant	0	Fire Hydrant
emergency	fire_hydrant	1	Fire Hydrants
amenity	fire_station	0	Fire Station
amenity	fire_station	1	Fire Stations
amenity	fountain	0	Fountain
amenity	fountain	1	Fountains
amenity	fuel	0	Fuel
amenity	fuel	1	Fuels
amenity	fuel	0	Fuel Station
