key	value	is_plural	phrase
aeroway	aerodrome	0	Aeropuerto
aeroway	aerodrome	1	Aeropuertos
amenity	arts_centre	0	Centro de arte
amenity	arts_centre	1	Centros de arte
amenity	atm	0	Cajero automático
amenity	atm	1	Cajeros automáticos
amenity	bank	0	Banco
amenity	bank	1	Bancos
amenity	bar	0	Bar
amenity	bar	1	Bares
amenity	bench	0	Banco
amenity	bench	1	Bancos
amenity	bicycle_parking	0	Aparcamiento de bibicletas
amenity	bicycle_parking	1	Aparcamientos de bibicletas
amenity	bicycle_rental	0	Alquiler de bicicletas
amenity	bicycle_rental	1	Alquileres de bicicletas
amenity	brothel	0	Burdel
amenity	brothel	1	Burdeles
amenity	bureau_de_change	0	Casa de cambio
amenity	bureau_de_change	1	Casa de cambios
amenity	bus_station	0	Estación de autobuses
amenity	bus_station	1	Estaciones de autobuses
amenity	cafe	0	Cafetería
amenity	cafe	1	Cafeterías
amenity	car_rental	0	Alquiler de vehículos
amenity	car_rental	1	Alquileres de vehículos
amenity	car_sharing	0	Vehículo compartido
amenity	car_sharing	1	Vehículos compartidos
amenity	car_wash	0	Autolavado
amenity	car_wash	1	Autolavados
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Cine
amenity	cinema	1	Cines
amenity	charging_station	0	Estación de carga
amenity	clinic	0	Clínica
amenity	clinic	1	Clínicas
amenity	college	0	Universidad o instituto
amenity	college	1	Universidades o institutos
amenity	community_centre	0	Centro comunitario
amenity	community_centre	1	Centros comunitarios
amenity	courthouse	0	Juzgado
amenity	courthouse	1	Juzgados
amenity	crematorium	0	Crematorio
amenity	crematorium	1	Crematorios
amenity	dentist	0	Dentista
amenity	dentist	1	Dentistas
amenity	doctors	0	Consultorio médico
amenity	doctors	1	Consultorios médicos
amenity	doctors	0	Centro médico
amenity	doctors	1	Centros médicos
amenity	driving_school	0	Autoescuela
amenity	driving_school	1	Autoescuelas
amenity	embassy	0	Embajada
amenity	embassy	1	Embajadas
amenity	emergency_phone	0	Teléfono de emergencia
amenity	emergency_phone	1	Teléfonos de emergencia
amenity	fast_food	0	Comida rápida
amenity	fast_food	1	Comidas rápidas
amenity	ferry_terminal	0	Terminal de ferry
amenity	ferry_terminal	1	Terminales de ferry
emergency	fire_hydrant	0	Hidrante
emergency	fire_hydrant	1	Hidrantes
amenity	fire_station	0	Parque de bomberos
amenity	fire_station	1	Parques de bomberos
amenity	fountain	0	Fuente
amenity	fountain	1	Fuentes
amenity	fuel	0	Gasolinera
amenity	fuel	1	Gasolineras
amenity	grave_yard	0	Cementerio
amenity	grave_yard	1	Cementerios
amenity	gym	0	Gimnasio
amenity	gym	1	Gimnasios
amenity	clinic	0	Centro de salud
amenity	clinic	1	Centros de salud
amenity	hospital	0	Hospital
amenity	hospital	1	Hospitales
amenity	hunting_stand	0	Apostadero de caza
amenity	hunting_stand	1	Apostaderos de caza
amenity	ice_cream	0	Heladería
amenity	ice_cream	1	Heladerías
amenity	kindergarten	0	Jardín de infancia
amenity	kindergarten	1	Jardines de infancia
amenity	library	0	Biblioteca
amenity	library	1	Bibliotecas
amenity	nightclub	0	Discoteca
amenity	nightclub	1	Discotecas
amenity	nursing_home	0	Residencia de la tercera edad
amenity	nursing_home	1	Residencias de la tercera edad
amenity	pharmacy	0	Farmacia
amenity	pharmacy	1	Farmacias
amenity	place_of_worship	0	Templo
amenity	place_of_worship	1	Templos
amenity	police	0	Policía
amenity	police	1	Policías
amenity	post_box	0	Buzón de correos
amenity	post_box	1	Buzones de correos
amenity	post_office	0	Oficina de correos
amenity	post_office	1	Oficinas de correos
amenity	prison	0	Prisión
amenity	prison	1	Prisiones
amenity	pub	0	Pub
amenity	pub	1	Pubs
