key	value	is_plural	phrase
aeroway	aerodrome	0	Lennujaam
amenity	atm	0	Pangaautomaat
amenity	atm	1	Pangaautomaadid
amenity	bank	0	Pank
amenity	bank	1	Pangad
amenity	bench	0	Pink
amenity	bench	1	Pingid
amenity	bicycle_parking	0	Jalgrattaparkla
amenity	bicycle_parking	1	Jalgrattaparklad
amenity	bicycle_rental	0	Jalgrattarent
amenity	bicycle_rental	1	Jalgrattarendid
amenity	bureau_de_change	0	Rahavahetus
amenity	bureau_de_change	1	Rahavahetused
amenity	bus_station	0	Bussijaam
amenity	bus_station	1	Bussijaamad
amenity	cafe	0	Kohvik
amenity	cafe	1	Kohvikud
amenity	car_rental	0	Autorent
amenity	car_rental	1	Autorendid
amenity	car_wash	0	Autopesu
amenity	car_wash	1	Autopesud
amenity	casino	0	Kasiino
amenity	casino	1	Kasiinod
amenity	cinema	0	Kino
amenity	cinema	1	Kinod
amenity	clinic	0	Kliinik
amenity	clinic	1	Kliinikud
amenity	courthouse	0	Kohtuhoone
amenity	courthouse	1	Kohtuhooned
amenity	crematorium	0	Krematoorium
amenity	crematorium	1	Krematooriumid
amenity	dentist	0	Hambaarst
amenity	dentist	1	Hambaarstid
amenity	drinking_water	0	Joogivesi
amenity	drinking_water	1	Joogiveed
amenity	driving_school	0	Autokool
amenity	driving_school	1	Autokoolid
amenity	embassy	0	Saatkond
amenity	embassy	1	Saatkonnad
amenity	fast_food	0	Kiirtoit
amenity	fast_food	1	Kiirtoidud
amenity	fuel	0	Kütus
amenity	fuel	1	Kütused
amenity	grave_yard	0	Surnuaed
amenity	grave_yard	1	Surnuaiad
amenity	hospital	0	Haigla
amenity	hospital	1	Haiglad
amenity	ice_cream	0	Jäätis
amenity	ice_cream	1	Jäätised
amenity	kindergarten	0	Lasteaed
amenity	kindergarten	1	Lasteaiad
amenity	library	0	Raamatukogu
amenity	library	1	Raamatukogud
amenity	nightclub	0	Ööklubi
amenity	nightclub	1	Ööklubid
amenity	parking	0	Parkla
amenity	parking	1	Parklad
amenity	pharmacy	0	Apteek
amenity	pharmacy	1	Apteegid
amenity	police	0	Politsei
amenity	police	1	Politseid
amenity	post_box	0	Postkast
amenity	post_box	1	Postkastid
amenity	post_office	0	Postkontor
amenity	post_office	1	Postkontorid
amenity	prison	0	Vangla
amenity	prison	1	Vanglad
amenity	restaurant	0	Restoran
amenity	restaurant	1	Restoranid
amenity	retirement_home	0	Vanadekodu
amenity	retirement_home	1	Vanadekodud
amenity	sauna	0	Saun
amenity	sauna	1	Saunad
amenity	school	0	Kool
amenity	school	1	Koolid
amenity	taxi	0	Takso
amenity	taxi	1	Taksod
amenity	theatre	0	Teater
amenity	theatre	1	Teatrid
amenity	toilets	0	WC
amenity	toilets	1	WCd
amenity	university	0	Ülikool
amenity	university	1	Ülikoolid
amenity	waste_basket	0	Prügikast
amenity	waste_basket	1	Prügikastid
building	chapel	0	Kabel
building	chapel	1	Kabelid
building	church	0	Kirik
building	church	1	Kirikud
building	hotel	0	Hotell
building	hotel	1	Hotellid
building	school	0	Koolihoone
building	school	1	Koolihooned
building	shop	0	Kauplus
building	shop	1	Kauplused
building	stadium	0	Staadion
building	stadium	1	Staadionid
building	tower	0	Torn
building	tower	1	Tornid
building	train_station	0	Raudteejaam
building	train_station	1	Raudteejaamad
building	university	0	Ülikoolihoone
building	university	1	Ülikoolihooned
building	&quot;yes&quot;	0	Hoone
building	&quot;yes&quot;	1	Hooned
highway	bus_stop	0	Bussipeatus
highway	bus_stop	1	Bussipeatused
highway	cycleway	0	Jalgrattatee
highway	cycleway	1	Jalgrattateed
highway	footway	0	Jalgrada
highway	footway	1	Jalgrajad
highway	pedestrian	0	Jalakäijatele
highway	pedestrian	1	Jalakäijarajad
historic	castle	0	Kindlus
historic	castle	1	Kindlused
historic	manor	0	Mõis
historic	manor	1	Mõisad
historic	ruins	0	Varemed
historic	ruins	1	Varemed
landuse	cemetery	0	Surnuaed
landuse	cemetery	1	Surnuaiad
landuse	forest	0	Mets
landuse	forest	1	Metsad
landuse	railway	0	Raudtee
landuse	railway	1	Raudteed
leisure	garden	0	Aed
leisure	garden	1	Aiad
leisure	golf_course	0	Golfiväljak
leisure	golf_course	1	Golfiväljakud
leisure	ice_rink	0	Uisuväli
leisure	ice_rink	1	Uisuväljad
leisure	miniature_golf	0	Minigolf
leisure	miniature_golf	1	Minigolfid
leisure	park	0	Park
leisure	park	1	Pargid
leisure	playground	0	Mänguväljak
leisure	playground	1	Mänguväljakud
