key	value	is_plural	phrase
aeroway	aerodrome	0	Aireportu
aeroway	aerodrome	1	Aireportus
amenity	arts_centre	0	Arte Zentroa
amenity	arts_centre	1	Arte Zentroas
amenity	bank	0	Banku
amenity	bank	1	Bankus
amenity	bar	0	Taberna
amenity	bar	1	Tabernas
amenity	bicycle_rental	0	Txirrindu Alokairua
amenity	bicycle_rental	1	Txirrindu Alokairuas
amenity	brothel	0	Putetxe
amenity	brothel	1	Putetxes
amenity	bureau_de_change	0	Diru-truke Bulegoa
amenity	bureau_de_change	1	Diru-truke Bulegoas
amenity	bus_station	0	Autobus-geltoki
amenity	bus_station	1	Autobus-geltokis
amenity	cafe	0	Kafetegi
amenity	cafe	1	Kafetegis
amenity	car_rental	0	Ibilgailu-alokairu
amenity	car_rental	1	Ibilgailu-alokairus
amenity	car_wash	0	Auto Garbiketa
amenity	car_wash	1	Auto Garbiketas
amenity	casino	0	Kasino
amenity	casino	1	Kasinos
amenity	cinema	0	Zinema
amenity	cinema	1	Zinemas
amenity	clinic	0	Klinika
amenity	clinic	1	Klinikas
amenity	community_centre	0	Komunitate Zentroa
amenity	community_centre	1	Komunitate Zentroas
amenity	courthouse	0	Epaitegia
amenity	courthouse	1	Epaitegias
amenity	crematorium	0	Errauste labe
amenity	crematorium	1	Errauste labes
amenity	dentist	0	Dentista
amenity	dentist	1	Dentistas
amenity	doctors	0	Medikuak
amenity	doctors	1	Medikuaks
amenity	drinking_water	0	Edateko ur
amenity	drinking_water	1	Edateko urs
amenity	driving_school	0	Autoeskola
amenity	driving_school	1	Autoeskolas
amenity	embassy	0	Enbaxada
amenity	embassy	1	Enbaxadas
amenity	emergency_phone	0	Larrialdi Telefonoa
amenity	emergency_phone	1	Larrialdi Telefonoas
amenity	fast_food	0	Janari Azkarra
amenity	fast_food	1	Janari Azkarras
amenity	ferry_terminal	0	Ferry terminal
amenity	ferry_terminal	1	Ferry terminals
amenity	fire_station	0	Suhiltzaileak
amenity	fire_station	1	Suhiltzaileaks
amenity	fountain	0	Iturri
amenity	fountain	1	Iturris
amenity	grave_yard	0	Hilerri
amenity	grave_yard	1	Hilerris
amenity	gym	0	Osasun Zentroa / Gimnasioa
amenity	gym	1	Osasun Zentroa / Gimnasioas
amenity	hospital	0	Ospitalea
amenity	hospital	1	Ospitaleas
amenity	ice_cream	0	Izozkiak
amenity	ice_cream	1	Izozkiaks
amenity	kindergarten	0	Haurtzaindegi
amenity	kindergarten	1	Haurtzaindegis
amenity	library	0	Liburutegia
amenity	library	1	Liburutegias
amenity	nightclub	0	Gau-klub
amenity	nightclub	1	Gau-klubs
amenity	pharmacy	0	Farmazia
amenity	pharmacy	1	Farmazias
amenity	place_of_worship	0	Otoitzerako Lekua
amenity	place_of_worship	1	Otoitzerako Lekuas
amenity	police	0	Polizia
amenity	police	1	Polizias
amenity	post_box	0	Postontzia
amenity	post_box	1	Postontzias
amenity	post_office	0	Postetxe
amenity	post_office	1	Postetxes
amenity	prison	0	Espetxe
amenity	prison	1	Espetxes
amenity	public_building	0	Eraikin publiko
amenity	public_building	1	Eraikin publikos
amenity	recycling	0	Birziklatze gune
amenity	recycling	1	Birziklatze gunes
amenity	restaurant	0	Jatetxe
amenity	restaurant	1	Jatetxes
amenity	sauna	0	Sauna
amenity	sauna	1	Saunas
amenity	school	0	Ikastetxe
amenity	school	1	Ikastetxes
amenity	studio	0	Estudio
amenity	studio	1	Estudios
amenity	taxi	0	Taxi
amenity	taxi	1	Taxis
amenity	telephone	0	Telefono publiko
amenity	telephone	1	Telefono publikos
amenity	theatre	0	Antzokia
amenity	theatre	1	Antzokias
amenity	toilets	0	Komunak
amenity	toilets	1	Komunaks
amenity	townhall	0	Udaletxe
amenity	townhall	1	Udaletxes
amenity	university	0	Unibertsitate
amenity	university	1	Unibertsitates
amenity	vending_machine	0	Salmenta automatiko
amenity	vending_machine	1	Salmenta automatikos
boundary	administrative	0	Muga Administratiboa
boundary	administrative	1	Muga Administratiboas
building	bunker	0	Bunker
building	bunker	1	Bunkers
building	chapel	0	Kapera
building	chapel	1	Kaperas
building	church	0	Eliza
building	church	1	Elizas
building	city_hall	0	Udaletxea
building	city_hall	1	Udaletxeas
building	garage	0	Garajea
building	garage	1	Garajeas
building	hospital	0	Ospitale erakina
building	hospital	1	Ospitale erakinas
building	hotel	0	Hotela
building	hotel	1	Hotelas
building	house	0	Etxe
building	house	1	Etxes
building	industrial	0	Eraikin industriala
building	industrial	1	Eraikin industrialas
building	public	0	Eraikin publiko
building	public	1	Eraikin publikos
building	school	0	Eskola eraikina
building	school	1	Eskola eraikinas
building	shop	0	Denda
building	shop	1	Dendas
building	stadium	0	Estadio
building	stadium	1	Estadios
building	store	0	Denda
building	store	1	Dendas
building	tower	0	Dorre
building	tower	1	Dorres
building	train_station	0	Tren Geltokia
building	train_station	1	Tren Geltokias
building	university	0	Unibertsitate eraikina
building	university	1	Unibertsitate eraikinas
building	&quot;yes&quot;	0	Eraikina
building	&quot;yes&quot;	1	Eraikinas
highway	bus_stop	0	Autobus-geraleku
highway	bus_stop	1	Autobus-geralekus
highway	construction	0	Eraikitze-lanetan dagoen Autopista
highway	construction	1	Eraikitze-lanetan dagoen Autopistas
highway	emergency_access_point	0	Larrialdi Sarbide Gunea
highway	emergency_access_point	1	Larrialdi Sarbide Guneas
highway	footway	0	Oinezkoen bide
highway	footway	1	Oinezkoen bides
highway	gate	0	Ate
highway	gate	1	Ates
highway	motorway	0	Autobide
highway	motorway	1	Autobides
highway	motorway_link	0	Autobidea
highway	motorway_link	1	Autobideas
highway	platform	0	Nasa
highway	platform	1	Nasas
highway	primary	0	Lehen mailako errepide
highway	primary	1	Lehen mailako errepides
highway	primary_link	0	Errepide nagusi
highway	primary_link	1	Errepide nagusis
highway	residential	0	Bizileku
highway	residential	1	Bizilekus
highway	road	0	Errepide
highway	road	1	Errepides
highway	secondary	0	Bigarren mailako errepide
highway	secondary	1	Bigarren mailako errepides
highway	secondary_link	0	Bigarren mailako errepide
highway	secondary_link	1	Bigarren mailako errepides
highway	service	0	Zerbitzu Errepidea
highway	service	1	Zerbitzu Errepideas
highway	services	0	Autobide Zerbitzuak
highway	services	1	Autobide Zerbitzuaks
highway	steps	0	Eskailera-mailak
highway	steps	1	Eskailera-mailaks
highway	tertiary	0	Hirugarren mailako errepide
highway	tertiary	1	Hirugarren mailako errepides
highway	track	0	Pista
highway	track	1	Pistas
historic	archaeological_site	0	Aztarnategi arkeologiko
historic	archaeological_site	1	Aztarnategi arkeologikos
historic	building	0	Eraikina
historic	building	1	Eraikinas
historic	castle	0	Gaztelu
historic	castle	1	Gaztelus
historic	memorial	0	Memoriala
historic	memorial	1	Memorialas
historic	mine	0	Meategi
historic	mine	1	Meategis
historic	monument	0	Monumentu
historic	monument	1	Monumentus
landuse	cemetery	0	Hilerri
landuse	cemetery	1	Hilerris
landuse	commercial	0	Merkataritza Eremua
landuse	commercial	1	Merkataritza Eremuas
landuse	forest	0	Baso
landuse	forest	1	Basos
landuse	meadow	0	Larre
landuse	meadow	1	Larres
landuse	military	0	Eremu Militarra
