key	value	is_plural	phrase
aeroway	aerodrome	0	Lentokenttä
aeroway	aerodrome	1	Lentokentät
aeroway	aerodrome	1	Lentokenttiä
amenity	arts_centre	0	Taidekeskus
amenity	arts_centre	1	Taidekeskukset
amenity	arts_centre	1	Taidekeskuksia
amenity	atm	0	Pankkiautomaatti
amenity	atm	1	Pankkiautomaatit
amenity	bank	0	Pankki
amenity	bank	1	Pankit
amenity	bench	0	Penkki
amenity	bench	1	Penkit
amenity	bicycle_parking	0	Pyöräparkki
amenity	bicycle_parking	1	Pyöräparkit
amenity	bicycle_rental	0	Pyörävuokraamo
amenity	bicycle_rental	1	Pyörävuokraamot
amenity	brothel	0	Bordelli
amenity	brothel	1	Bordellit
amenity	bureau_de_change	0	Rahanvaihto
amenity	bureau_de_change	1	Rahanvaihtajat
amenity	bus_station	0	Linja-autoasema
amenity	bus_station	1	Linja-autoasemat
amenity	cafe	0	Kahvila
amenity	cafe	1	Kahvilat
amenity	car_rental	0	Autovuokraamo
amenity	car_rental	1	Autovuokraamot
amenity	car_wash	0	Autopesu
amenity	car_wash	1	Autopesut
amenity	casino	0	Kasino
amenity	casino	1	Kasinot
amenity	cinema	0	Elokuvateatteri
amenity	cinema	1	Elokuvateatterit
amenity	clinic	0	Klinikka
amenity	clinic	1	Klinikat
amenity	courthouse	0	Oikeustalo
amenity	courthouse	1	Oikeustalot
amenity	crematorium	0	Krematorio
amenity	crematorium	1	Krematoriot
amenity	dentist	0	Hammaslääkäri
amenity	dentist	1	Hammaslääkärit
amenity	doctors	0	Lääkäri
amenity	doctors	1	Lääkäreitä
amenity	drinking_water	0	Juomavesi
amenity	drinking_water	1	Juomavettä
amenity	embassy	0	Lähetystö
amenity	embassy	1	Lähetystöt
amenity	emergency_phone	0	Hätäpuhelin
amenity	emergency_phone	1	Hätäpuhelimet
amenity	fast_food	0	Pikaruoka
amenity	fast_food	1	Pikaruokaa
amenity	ferry_terminal	0	Lauttaterminaali
amenity	ferry_terminal	1	Lauttaterminaalit
emergency	fire_hydrant	0	Paloposti
emergency	fire_hydrant	1	Palopostit
amenity	fire_station	0	Paloasema
amenity	fire_station	1	Paloasemat
amenity	fountain	0	Lähde
amenity	fountain	1	Lähteet
amenity	fuel	0	Bensa-asema
amenity	fuel	1	Bensa-asemat
amenity	grave_yard	0	Hautausmaa
amenity	grave_yard	1	Hautausmaat
amenity	gym	0	Liikuntakeskus / kuntosali
amenity	gym	1	Liikuntakeskukset / kuntosalit
amenity	hospital	0	Sairaala
amenity	hospital	1	Sairaalat
amenity	hunting_stand	0	Metsästyslava
amenity	hunting_stand	1	Metsästyslavat
amenity	ice_cream	0	Jäätelö
amenity	ice_cream	1	Jäätelöä
amenity	kindergarten	0	Päiväkoti
amenity	kindergarten	1	Päiväkodit
amenity	library	0	Kirjasto
amenity	library	1	Kirjastot
amenity	nightclub	0	Yökerho
amenity	nightclub	1	Yökerhot
amenity	pharmacy	0	Apteekki
amenity	pharmacy	1	Apteekit
amenity	police	0	Poliisi
amenity	police	1	Poliisit
amenity	police	0	Poliisiasema
amenity	police	1	Poliisiasemat
amenity	post_box	0	Kirjelaatikko
amenity	post_box	0	Postilaatikko
amenity	post_box	1	Kirjelaatikot
amenity	post_box	1	Postilaatikot
amenity	post_office	0	Postitoimisto
amenity	post_office	1	Postitoimistot
amenity	prison	0	Vankila
amenity	prison	1	Vankilat
amenity	pub	0	Pubi
amenity	pub	1	Pubit
amenity	pub	1	Pubeja
amenity	public_building	0	Julkinen rakennus
amenity	public_building	1	Julkiset rakennukset
amenity	recycling	0	Kierrätyspaikka
amenity	recycling	1	Kierrätyspaikat
amenity	restaurant	0	Ravintola
amenity	restaurant	1	Ravintolat
amenity	restaurant	1	Ravintoloita
amenity	retirement_home	0	Vanhainkoti
amenity	retirement_home	1	Vanhainkodit
amenity	sauna	0	Sauna
amenity	sauna	1	Saunat
amenity	school	0	Koulu
amenity	school	1	Koulut
amenity	studio	0	Studio
amenity	studio	1	Studiot
amenity	taxi	0	Taksi
amenity	taxi	1	Taksit
amenity	telephone	0	Puhelinkoppi
amenity	telephone	1	Puhelinkopit
amenity	theatre	0	Teatteri
amenity	theatre	1	Teatterit
amenity	toilets	0	WC
amenity	toilets	1	WCt
amenity	toilets	0	Vessa
amenity	toilets	1	Vessat
amenity	townhall	0	Kaupungintalo
amenity	townhall	1	Kaupungintalot
amenity	university	0	Yliopisto
amenity	university	1	Yliopistot
amenity	vending_machine	0	Myyntiautomaatti
amenity	vending_machine	1	Myyntiautomaatit
amenity	veterinary	0	Eläinlääkäri
amenity	veterinary	1	Eläinlääkärit
amenity	waste_basket	0	Roskakori
amenity	waste_basket	1	Roskakorit
boundary	administrative	0	Hallinnollinen raja
boundary	administrative	1	Hallinnolliset rajat
building	apartments	0	Talo
building	apartments	1	Talot
building	bunker	0	Bunkkeri
building	bunker	1	Bunkkerit
building	church	0	Kirkko
building	church	1	Kirkot
building	flats	0	Kerrostalo
building	flats	1	Kerrostalot
building	garage	0	Autotalli
building	garage	1	Autotallit
building	hospital	0	Sairaalarakennus
building	hospital	1	Sairaalarakennukset
building	hotel	0	Hotelli
building	hotel	1	Hotellit
building	house	0	Talo
building	house	1	Talot
building	office	0	Toimistorakennus
building	office	1	Toimistorakennukset
building	public	0	Julkinen rakennus
building	public	1	Julkiset rakennukset
building	residential	0	Asuinrakennus
building	residential	1	Asuinrakennukset
building	school	0	Koulurakennus
building	school	1	Koulurakennukset
building	shop	0	Kauppa
building	shop	1	Kaupat
building	stadium	0	Stadion
building	stadium	1	Stadionit
building	terrace	0	Rivitalo
building	terrace	1	Rivitalot
building	tower	0	Torni
building	tower	1	Tornit
building	train_station	0	Rautatieasema
building	train_station	1	Rautatieasemat
building	university	0	Yliopistorakennus
building	university	1	Yliopistorakennukset
building	&quot;yes&quot;	0	Rakennus
building	&quot;yes&quot;	1	Rakennukset
highway	bus_stop	0	Bussipysäkki
highway	bus_stop	1	Bussipysäkkit
highway	byway	0	Sivutie
highway	byway	1	Sivuties
highway	construction	0	Rakenteilla oleva tie
highway	construction	1	Rakenteilla olevat tiet
highway	cycleway	0	Pyörätie
highway	cycleway	1	Pyörätiet
highway	distance_marker	0	Etäisyysmerkki
highway	distance_marker	1	Etäisyysmerkit
highway	footway	0	Polku
highway	footway	0	Jalkakäytävä
highway	footway	0	Kävelytie
highway	footway	1	Polut
highway	footway	1	Jalkakäytävät
highway	footway	1	Kävelytiet
highway	gate	0	Portti
highway	gate	1	Portit
highway	living_street	0	Asuinkatu
highway	living_street	1	Asuinkadut
highway	motorway	0	Moottoritie
highway	motorway	1	Moottoritiet
highway	motorway_junction	0	Liittymä
highway	motorway_junction	0	Moottoritien liittymä
highway	motorway_junction	1	Liittymät
highway	motorway_junction	1	Moottoritien liittymät
highway	motorway_link	0	Moottoritie
highway	motorway_link	1	Moottoritiet
highway	path	0	Polku
highway	path	1	Polut
highway	pedestrian	0	Kävelykatu
highway	pedestrian	1	Kävelykadut
highway	primary	0	Kantatie
highway	primary	1	Kantatiet
highway	primary_link	0	Kantatie
highway	primary_link	1	Kantatiet
highway	raceway	0	Kilparata
highway	raceway	1	Kilparadat
highway	residential	0	Asuinkatu
highway	residential	1	Asuinkadut
highway	road	0	Tie
highway	road	1	Tiet
highway	secondary	0	Seututie
highway	secondary	1	Seututiet
highway	secondary_link	0	Seututie
highway	secondary_link	1	Seututiet
highway	steps	0	Portaat
highway	steps	1	Portaita
highway	tertiary	0	Yhdystie
highway	tertiary	1	Yhdystiet
highway	track	0	Metsätie
highway	track	1	Metsätiet
highway	trunk	0	Valtatie
highway	trunk	1	Valtatiet
highway	trunk_link	0	Valtatie
highway	trunk_link	1	Valtatiet
highway	unsurfaced	0	Päällystämätön tie
highway	unsurfaced	1	Päällystämättämät tiet
historic	battlefield	0	Taistelukenttä
historic	battlefield	1	Taistelukentät
historic	building	0	Rakennus
historic	building	1	Rakennukset
historic	castle	0	Linna
historic	castle	1	Linnat
historic	mine	0	Kaivos
historic	mine	1	Kaivokset
historic	monument	0	Muistomerkki
historic	monument	1	Muistomerkit
historic	ruins	0	Rauniot
historic	ruins	1	Raunioita
historic	wreck	0	Hylky
historic	wreck	1	Hylyt
landuse	cemetery	0	Hautausmaa
landuse	cemetery	1	Hautausmaat
landuse	commercial	0	Kaupallinen alue
landuse	commercial	1	Kaupalliset alueet
landuse	construction	0	Rakennustyömaa
landuse	construction	1	Rakennustyömaat
landuse	forest	0	Metsä
landuse	forest	1	Metsät
landuse	grass	0	Nurmikko
landuse	grass	1	Nurmikot
landuse	industrial	0	Teollisuusalue
landuse	industrial	1	Teollisuusalueet
landuse	landfill	0	Kaatopaikka
landuse	landfill	1	Kaatopaikat
landuse	meadow	0	Niitty
landuse	meadow	1	Niityt
landuse	military	0	Sotilasalue
landuse	military	1	Sotilasalueet
landuse	quarry	0	Avolouhos
landuse	quarry	1	Avolouhokset
landuse	railway	0	Rautatie
landuse	railway	1	Rautatiet
landuse	residential	0	Asuinalue
landuse	residential	1	Asuinalueet
landuse	wood	0	Metsä
landuse	wood	1	Metsät
leisure	fishing	0	Kalastusalue
leisure	fishing	1	Kalastusalueet
leisure	garden	0	Puutarha
leisure	garden	1	Puutarhat
leisure	golf_course	0	Golf-kenttä
leisure	golf_course	1	Golf-kentät
leisure	ice_rink	0	Luistelurata
leisure	ice_rink	1	Luisteluradat
leisure	marina	0	Huvivenesatama
leisure	marina	1	Huvivenesatamat
leisure	miniature_golf	0	Minigolf
leisure	miniature_golf	1	Minigolfit
leisure	park	0	Puisto
leisure	park	1	Puistot
leisure	pitch	0	Urheilukenttä
leisure	pitch	1	Urheilukentät
leisure	playground	0	Leikkikenttä
leisure	playground	1	Leikkikentät
leisure	slipway	0	Vesillelaskuramppi
leisure	slipway	1	Vesillelaskurampit
leisure	sports_centre	0	Urheilukeskus
leisure	sports_centre	1	Urheilukeskukset
leisure	stadium	0	Stadioni
leisure	stadium	1	Stadionit
leisure	swimming_pool	0	Uima-allas
leisure	swimming_pool	1	Uima-altaat
leisure	track	0	Juoksurata
leisure	track	1	Juoksuradat
leisure	water_park	0	Vesipuisto
leisure	water_park	1	Vesipuistot
natural	bay	0	Lahti
natural	bay	1	Lahdet
natural	beach	0	Hiekkaranta
natural	beach	1	Hiekkarannat
natural	cave_entrance	0	Luolan sisäänkäynti
natural	cave_entrance	1	Luolan sisäänkäynnit
natural	cliff	0	Jyrkänne
natural	cliff	1	Jyrkänteet
natural	coastline	0	Rantaviiva
natural	coastline	1	Rantaviivat
natural	fell	0	Tunturi
natural	fell	1	Tunturit
natural	glacier	0	Jäätikkö
natural	glacier	1	Jäätiköt
natural	land	0	Maa
natural	land	1	Maata
natural	mud	0	Muta
natural	mud	1	Mutaa
natural	peak	0	Huippu
natural	peak	1	Huiput
natural	reef	0	Riutta
natural	reef	1	Riutat
natural	rock	0	Kivi
natural	rock	1	Kivet
natural	rock	1	Kiviä
natural	spring	0	Lähde
natural	spring	1	Lähteet
natural	tree	0	Puu
natural	tree	1	Puut
natural	valley	0	Laakso
natural	valley	1	Laaksot
natural	volcano	0	Tulivuori
natural	volcano	1	Tulivuoret
natural	water	0	Vesi
natural	water	1	Vettä
natural	water	0	Järvi
natural	water	1	Järvet
natural	water	1	Järviä
natural	wetland	0	Kosteikko
natural	wetland	1	Kosteikot
natural	wood	0	Metsä
natural	wood	1	Metsät
place	city	0	Kaupunki
place	city	1	Kaupungit
place	country	0	Maa
place	country	1	Maat
place	county	0	Piirikunta
place	county	1	Piirikunnat
place	farm	0	Maatila
place	farm	1	Maatilat
place	hamlet	0	Pieni kylä
place	hamlet	1	Pienet kylät
place	house	0	Talo
place	house	1	Talot
place	house	1	Taloja
place	houses	0	Taloja
place	houses	1	Taloja
place	island	0	Saari
place	island	1	Saaret
place	islet	0	Saari
place	islet	1	Saaret
place	locality	0	Paikkakunta
place	locality	1	Paikkakunnat
place	municipality	0	Kunta
place	municipality	1	Kunnat
place	region	0	Alue
place	region	1	Alueet
place	sea	0	Meri
place	sea	1	Meret
place	state	0	Osavaltio
place	state	1	Osavaltiot
place	suburb	0	Lähiö
place	suburb	1	Lähiöt
place	town	0	Kaupunki
place	town	1	Kaupungit
place	village	0	Kylä
place	village	1	Kylät
railway	abandoned	0	Hylätty rautatie
railway	abandoned	1	Hylätyt rautatiet
railway	construction	0	Rakenteilla oleva rautatie
railway	construction	1	Rakenteilla olevat rautatiet
railway	level_crossing	0	Tasoristeys
railway	level_crossing	1	Tasoristeykset
railway	monorail	0	Yksikiskoinen raide
railway	monorail	1	Yksikiskoiset raiteet
railway	platform	0	Asemalaituri
railway	platform	1	Asemalaiturit
railway	station	0	Rautatieasema
