key	value	is_plural	phrase
aeroway	aerodrome	0	Aeroporto
aeroway	aerodrome	1	Aeroportos
amenity	arts_centre	0	Centro artístico
amenity	arts_centre	1	Centro artísticos
amenity	atm	0	Caixeiro automático
amenity	atm	1	Caixeiro automáticos
amenity	bank	0	Banco
amenity	bank	1	Bancos
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Banco
amenity	bench	1	Bancos
amenity	bicycle_parking	0	Aparcadoiro de bicicletas
amenity	bicycle_parking	1	Aparcadoiro de bicicletass
amenity	bicycle_rental	0	Aluguer de bicicletas
amenity	bicycle_rental	1	Aluguer de bicicletass
amenity	brothel	0	Prostíbulo
amenity	brothel	1	Prostíbulos
amenity	bus_station	0	Estación de autobuses
amenity	bus_station	1	Estación de autobusess
amenity	cafe	0	Cafetaría
amenity	cafe	1	Cafetarías
amenity	car_rental	0	Aluguer de automóbiles
amenity	car_rental	1	Aluguer de automóbiless
amenity	car_sharing	0	Aluguer de automóbiles
amenity	car_sharing	1	Aluguer de automóbiless
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	cinema	0	Cine
amenity	cinema	1	Cines
amenity	clinic	0	Clínica
amenity	clinic	1	Clínicas
amenity	college	0	Instituto
amenity	college	1	Institutos
amenity	community_centre	0	Centro comunitario
amenity	community_centre	1	Centro comunitarios
amenity	courthouse	0	Xulgado
amenity	courthouse	1	Xulgados
amenity	crematorium	0	Crematorio
amenity	crematorium	1	Crematorios
amenity	dentist	0	Dentista
amenity	dentist	1	Dentistas
amenity	drinking_water	0	Auga potable
amenity	drinking_water	1	Auga potables
amenity	driving_school	0	Escola de condución
amenity	driving_school	1	Escola de conducións
amenity	emergency_phone	0	Teléfono de emerxencia
amenity	emergency_phone	1	Teléfono de emerxencias
amenity	fast_food	0	Comida rápida
amenity	fast_food	1	Comida rápidas
amenity	fire_station	0	Parque de bombeiros
amenity	fire_station	1	Parque de bombeiross
amenity	fountain	0	Fonte
amenity	fountain	1	Fontes
amenity	fuel	0	Combustible
amenity	fuel	1	Combustibles
amenity	grave_yard	0	Cemiterio
amenity	grave_yard	1	Cemiterios
amenity	gym	0	Ximnasio
amenity	gym	1	Ximnasios
amenity	hospital	0	Hospital
amenity	hospital	1	Hospitals
amenity	ice_cream	0	Xeadaría
amenity	ice_cream	1	Xeadarías
amenity	kindergarten	0	Xardín de infancia
amenity	kindergarten	1	Xardín de infancias
amenity	library	0	Biblioteca
amenity	library	1	Bibliotecas
amenity	nightclub	0	Club nocturno
amenity	nightclub	1	Club nocturnos
amenity	pharmacy	0	Farmacia
amenity	pharmacy	1	Farmacias
amenity	place_of_worship	0	Lugar de culto
amenity	place_of_worship	1	Lugar de cultos
amenity	police	0	Policía
amenity	police	1	Policías
amenity	post_box	0	Caixa de correos
amenity	post_box	1	Caixa de correoss
amenity	post_office	0	Oficina de correos
amenity	post_office	1	Oficina de correoss
amenity	prison	0	Prisión
amenity	prison	1	Prisións
amenity	pub	0	Pub
amenity	pub	1	Pubs
amenity	public_building	0	Edificio público
amenity	public_building	1	Edificio públicos
amenity	recycling	0	Punto de reciclaxe
amenity	recycling	1	Punto de reciclaxes
amenity	restaurant	0	Restaurante
amenity	restaurant	1	Restaurantes
amenity	retirement_home	0	Residencia de xubilados
amenity	retirement_home	1	Residencia de xubiladoss
amenity	sauna	0	Sauna
amenity	sauna	1	Saunas
amenity	school	0	Escola
amenity	school	1	Escolas
amenity	shelter	0	Abeiro
amenity	shelter	1	Abeiros
amenity	studio	0	Estudio
amenity	studio	1	Estudios
amenity	telephone	0	Teléfono público
amenity	telephone	1	Teléfono públicos
amenity	theatre	0	Teatro
amenity	theatre	1	Teatros
amenity	toilets	0	Aseos
amenity	toilets	1	Aseoss
amenity	townhall	0	Concello
amenity	townhall	1	Concellos
amenity	university	0	Universidade
amenity	university	1	Universidades
