key	value	is_plural	phrase
aeroway	aerodrome	0	Flugvöllur
aeroway	aerodrome	1	Flugvellir
amenity	atm	0	Hraðbanki
amenity	atm	1	Hraðbankar
amenity	bar	0	Bar
amenity	bar	1	Barir
amenity	bicycle_rental	0	Reiðhjólaleiga
amenity	bicycle_rental	1	Reiðhjólaleigur
amenity	brothel	0	Hóruhús
amenity	brothel	1	Hóruhús
amenity	cafe	0	Kaffihús
amenity	cafe	1	Kaffihús
amenity	car_rental	0	Bílaleiga
amenity	car_rental	1	Bílaleigur
amenity	car_wash	0	Bílaþvottastöð
amenity	car_wash	1	Bílaþvottastöðvar
amenity	cinema	0	Kvikmyndarhús
amenity	cinema	1	Kvikmyndarhús
amenity	dentist	0	Tannlæknir
amenity	dentist	1	Tannlæknar
amenity	embassy	0	Sendiráð
amenity	embassy	1	Sendiráð
amenity	fast_food	0	Skyndibitastaður
amenity	fast_food	1	Skyndibitastaðir
emergency	fire_hydrant	0	Brunahani
emergency	fire_hydrant	1	Brunahanar
amenity	hospital	0	Spítali
amenity	hospital	1	Spítalar
amenity	library	0	Bókasafn
amenity	library	1	Bókasöfn
amenity	post_box	0	Póstkassi
amenity	post_box	1	Póstkassar
amenity	post_office	0	Pósthús
amenity	post_office	1	Pósthús
amenity	prison	0	Fangelsi
amenity	prison	1	Fangelsi
amenity	pub	0	Pöbb
amenity	pub	1	Pöbbar
amenity	restaurant	0	Veitingastaður
amenity	restaurant	1	Veitingastaðir
amenity	sauna	0	Gufubað
amenity	sauna	1	Gufuböð
amenity	theatre	0	Leikhús
amenity	theatre	1	Leikhús
building	chapel	0	Kapella
building	chapel	1	Kapellur
building	church	0	Kirkja
building	church	1	Kirkjur
highway	ford	0	Vað
highway	ford	1	Vöð
highway	residential	0	Íbúðargata
highway	residential	1	Íbúðargötur
historic	castle	0	Kastali
historic	castle	1	Kastalar
landuse	military	0	Hersvæði
landuse	military	1	Hersvæði
leisure	sports_centre	0	Íþróttamiðstöð
leisure	sports_centre	1	Íþróttamiðstöðvar
leisure	swimming_pool	0	Sundlaug
leisure	swimming_pool	1	Sundlaugar
leisure	water_park	0	Vatnsleikjagarður
leisure	water_park	1	Vatnsleikjagarðar
natural	bay	0	Flói
natural	bay	1	Flóar
natural	beach	0	Strönd
natural	beach	1	Strendur
natural	cave_entrance	0	Hellisop
natural	cave_entrance	1	Hellisop
natural	fell	0	Fell
natural	fell	1	Fell
natural	glacier	0	Jökull
natural	glacier	1	Jöklar
natural	peak	0	Tindur
natural	peak	1	Tindar
natural	reef	0	Rif
natural	reef	1	Rif
natural	tree	0	Tré
natural	tree	1	Tré
natural	valley	0	Dalur
natural	valley	1	Dalir
natural	volcano	0	Eldfjall
natural	volcano	1	Eldfjöll
natural	water	0	Vatn
natural	water	1	Vötn
place	city	0	Borg
place	city	1	Borgir
place	country	0	Land
place	country	1	Lönd
place	farm	0	Bóndabýli
place	farm	1	Bóndabýli
place	house	0	Hús
place	house	1	Hús
place	island	0	Eyja
place	island	1	Eyjur
place	islet	0	Smáeyja
place	islet	1	Smáeyjur
place	region	0	Svæði
place	region	1	Svæði
place	sea	0	Haf
place	sea	1	Höf
place	suburb	0	Hverfi
place	suburb	1	Hverfi
place	town	0	Bær
place	town	1	Bæir
place	village	0	Þorp
place	village	1	Þorp
shop	bakery	0	Bakarí
shop	bakery	1	Bakarí
shop	bicycle	0	Hjólabúð
shop	bicycle	1	Hjólabúðir
shop	books	0	Bókabúð
shop	books	1	Bókabúðir
shop	butcher	0	Slátrari
shop	butcher	1	Slátrarar
shop	car	0	Bílabúð
shop	car	1	Bílabúðir
shop	carpet	0	Teppabúð
shop	carpet	1	Teppabúðir
shop	clothes	0	Fatabúð
shop	clothes	1	Fatabúðir
shop	computer	0	Tölvubúð
shop	computer	1	Tölvubúðir
shop	electronics	0	Raftækjaverslun
shop	electronics	1	Raftækjaverslanir
shop	fish	0	Fiskbúð
shop	fish	1	Fiskbúðir
shop	florist	0	Blómabúð
shop	florist	1	Blómabúðir
shop	food	0	Matvöruverslun
shop	food	1	Matvöruverslanir
shop	furniture	0	Húsgagnaverslun
shop	gift	0	Gjafabúð
shop	gift	1	Gjafabúðir
shop	hardware	0	Verkfærabúð
shop	hardware	1	Verkfærabúðir
shop	hifi	0	Hljómtækjabúð
shop	hifi	1	Hljómtækjabúðir
shop	kiosk	0	Söluturn
shop	kiosk	1	Söluturnar
shop	mobile_phone	0	Farsímaverslun
shop	mobile_phone	1	Farsímaverslanir
shop	outdoor	0	Útivistarbúð
shop	outdoor	1	Útivistarbúðir
shop	pet	0	Gæludýrabúð
shop	pet	1	Gæludýrabúðir
shop	toys	0	Leikfangaverslun
shop	toys	1	Leikfangaverslanir
shop	travel_agency	0	Ferðaskrifstofa
shop	travel_agency	1	Ferðaskrifstofur
shop	video	0	Myndbandaleiga
shop	video	1	Myndbandaleigur
tourism	artwork	0	Listaverk
tourism	artwork	1	Listaverk
tourism	hotel	0	Hótel
tourism	hotel	1	Hótel
tourism	museum	0	Safn
tourism	museum	1	Söfn
tourism	zoo	0	Dýragarður
tourism	zoo	1	Dýragarðar
waterway	dam	0	Vatnsaflsvirkjun
waterway	dam	1	Vatnsaflsvirkjanir
waterway	river	0	Á
waterway	river	1	Ár
waterway	stream	0	Lækur
waterway	stream	1	Lækir
waterway	waterfall	0	Foss
waterway	waterfall	1	Fossar
