key	value	is_plural	phrase
aeroway	aerodrome	0	Luchthaven
aeroway	aerodrome	1	Luchthavens
amenity	arts_centre	0	Kunstcollectief
amenity	arts_centre	1	Kunstcollectieven
amenity	atm	0	Geldautomaat
amenity	atm	1	Geldautomaten
amenity	bank	0	Bank
amenity	bank	1	Banken
amenity	bar	0	Bar
amenity	bar	1	Bars
amenity	bench	0	Bankje
amenity	bench	1	Bankjes
amenity	bicycle_parking	0	Fietsenstalling
amenity	bicycle_parking	1	Fietsenstallingen
amenity	bicycle_rental	0	Fietsverhuur
amenity	bicycle_rental	1	Fietsverhuren
amenity	brothel	0	Bordeel
amenity	brothel	1	Bordelen
amenity	bureau_de_change	0	Wisselkantoor
amenity	bureau_de_change	1	Wisselkantoren
amenity	bus_station	0	Busstation
amenity	bus_station	1	Busstations
amenity	cafe	0	Café
amenity	cafe	1	Cafés
amenity	car_rental	0	Autoverhuur
amenity	car_rental	1	Autoverhuren
amenity	car_sharing	0	Autodelen
amenity	car_sharing	0	carpooling
amenity	car_wash	0	carwash
amenity	car_wash	1	carwashes
amenity	car_wash	0	Autowasstraat
amenity	car_wash	1	Autowasstraten
amenity	casino	0	Casino
amenity	casino	1	Casinos
amenity	casino	1	Casino's
amenity	cinema	0	Bioscoop
amenity	cinema	1	Bioscopen
amenity	cinema	0	Cinema
amenity	cinema	1	Cinemas
amenity	clinic	0	Kliniek
amenity	clinic	1	Klinieken
amenity	college	0	Hogeschool
amenity	college	1	Hogescholen
amenity	community_centre	0	Gemeenschapscentrum
amenity	community_centre	1	Gemeenschapscentrums
amenity	community_centre	1	Gemeenschapscentra
amenity	courthouse	0	Rechtbank
amenity	courthouse	1	Rechtbanken
amenity	crematorium	0	Crematorium
amenity	crematorium	1	Crematoriums
amenity	crematorium	1	Crematoria
amenity	dentist	0	Tandarts
amenity	dentist	1	Tandartsen
amenity	doctors	0	Dokter
amenity	doctors	1	Dokters
amenity	drinking_water	0	Drinkwater
amenity	drinking_water	1	Drinkwater
amenity	driving_school	0	Rijschool
amenity	driving_school	1	Rijscholen
amenity	embassy	0	Ambassade
amenity	embassy	1	Ambassades
amenity	emergency_phone	0	Noodtelefoon
amenity	emergency_phone	1	Noodtelefoons
amenity	fast_food	0	Fast food
amenity	fast_food	1	Fast foods
amenity	ferry_terminal	0	Veerterminal
amenity	ferry_terminal	1	Veerterminals
emergency	fire_hydrant	0	Brandkraan
emergency	fire_hydrant	1	Brandkranen
amenity	fire_station	0	Brandweer
amenity	fire_station	1	Brandweer
amenity	fountain	0	Fontein
amenity	fountain	1	Fonteinen
amenity	fuel	0	Brandstof
amenity	fuel	1	Brandstof
amenity	fuel	0	Benzine pomp
amenity	fuel	1	Benzine pompen
amenity	grave_yard	0	Begraafplaats
amenity	grave_yard	1	Begraafplaatsen
amenity	gym	0	Fitnesscentrum
amenity	gym	1	Fitnesscentrums
amenity	gym	1	Fitnesscentra
amenity	hospital	0	Ziekenhuis
amenity	hospital	1	Ziekenhuizen
amenity	hunting_stand	0	Jachttoren
amenity	hunting_stand	1	Jachttorens
amenity	ice_cream	0	IJs
amenity	ice_cream	1	IJs
amenity	kindergarten	0	Kleuterschool
amenity	kindergarten	1	Kleuterscholen
amenity	library	0	Bibliotheek
amenity	library	1	Bibliotheken
amenity	nightclub	0	Nachtclub
amenity	nightclub	1	Nachtclubs
amenity	nightclub	0	Discotheek
amenity	nightclub	1	Discotheeken
amenity	nightclub	1	Disco's
amenity	nursing_home	0	Verpleeghuis
amenity	nursing_home	1	Verpleeghuizen
amenity	nursing_home	0	RVT
amenity	nursing_home	1	RVT's
amenity	nursing_home	0	Rusthuis
amenity	nursing_home	1	Rusthuizen
amenity	pharmacy	0	Apotheek
amenity	pharmacy	1	Apotheken
amenity	place_of_worship	0	Gebedsplaats
amenity	place_of_worship	1	Gebedsplaatsen
amenity	police	0	Politie
amenity	police	1	Politie
amenity	post_box	0	Brievenbus
amenity	post_box	1	Brievenbussen
amenity	post_office	0	Postkantoor
amenity	post_office	1	Postkantoren
amenity	prison	0	Gevangenis
amenity	prison	1	Gevangenissen
amenity	pub	0	Café
amenity	pub	1	Cafés
amenity	pub	1	Café's
amenity	public_building	0	Openbaar gebouw
amenity	public_building	1	Openbare gebouwen
amenity	recycling	0	Recyclingpunt
amenity	recycling	1	Recyclingpunten
amenity	recycling	0	Recyclage
amenity	recycling	1	Recyclage
amenity	restaurant	0	Restaurant
amenity	restaurant	1	Restaurants
amenity	retirement_home	0	Bejaardentehuis
amenity	retirement_home	1	Bejaardentehuizen
amenity	retirement_home	0	Rusthuis
amenity	retirement_home	1	Rusthuizen
amenity	sauna	0	Sauna
amenity	sauna	1	Sauna's
amenity	school	0	School
amenity	school	1	Scholen
amenity	shelter	0	Beschutting
amenity	shelter	1	Beschuttingen
amenity	studio	0	Eenkamerappartement
amenity	studio	1	Eenkamerappartementen
amenity	studio	0	Studio
amenity	studio	1	Studio's
amenity	taxi	0	Taxi
amenity	taxi	1	Taxi's
amenity	telephone	0	Openbare telefoon
amenity	telephone	1	Openbare telefoons
amenity	theatre	0	Theater
amenity	theatre	1	Theaters
amenity	toilets	0	Toilet
amenity	toilets	1	Toiletten
amenity	townhall	0	Gemeentehuis
amenity	townhall	1	Gemeentehuizen
amenity	university	0	Universiteit
amenity	university	1	Universiteiten
amenity	vending_machine	0	Automaat
amenity	vending_machine	1	Automaten
amenity	veterinary	0	Dierenarts
amenity	veterinary	1	Dierenartsen
amenity	waste_basket	0	Vuilbak
amenity	waste_basket	1	Vuilbakken
boundary	administrative	0	Administratieve grens
boundary	administrative	1	Administratieve grenzen
building	apartments	0	Appartement
building	apartments	1	Appartementen
building	bunker	0	Bunker
building	bunker	1	Bunkers
building	chapel	0	Kapel
building	chapel	1	Kapellen
building	church	0	Kerk
building	church	1	Kerken
building	city_hall	0	Gemeentehuis
building	city_hall	1	Gemeentehuizen
building	commercial	0	Commercieel gebouw
building	commercial	1	Commerciële gebouwen
building	dormitory	0	Studentenhuis
building	dormitory	1	Studentenhuizen
building	entrance	0	Ingang
building	entrance	1	Ingangen
building	faculty	0	Faculteitsgebouw
building	faculty	1	Faculteitsgebouwen
building	farm	0	Boerderij
building	farm	1	Boerderijen
building	flats	0	Flat
building	flats	1	Flats
building	garage	0	Garage
building	garage	1	Garages
building	hall	0	Hal
building	hall	1	Hallen
building	hospital	0	Ziekenhuis
building	hospital	1	Ziekenhuizen
building	hotel	0	Hotel
building	hotel	1	Hotels
