key	value	is_plural	phrase
aeroway	aerodrome 	0	Aeroporto
aeroway	aerodrome	1	Aeroportos
amenity	atm	0	Caixa Eletrônico
amenity	atm	1	Caixas Eletrônicos
amenity	atm	0	Caixa Multibanco
amenity	atm	1	Caixas Multibanco
amenity	atm	0	Caixa de Multibanco
amenity	atm	1	Caixas de Multibanco
amenity	atm	0	Multibanco
amenity	atm	1	Multibancos
amenity	atm	0	Multicaixa
amenity	atm	1	Multicaixas
amenity	bank	0	Agência Bancária
amenity	bank	1	Agências Bancárias
amenity	bank	0	Banco
amenity	bank	1	Bancos
amenity	bar	0	Bar
amenity	bar	1	Bares
amenity	bureau_de_change	0	Câmbio
amenity	bureau_de_change	1	Câmbios
amenity	bureau_de_change	0	Cambista
amenity	bureau_de_change	1	Cambistas
amenity	bus_station	0	Estação de Autocarros
amenity	bus_station	1	Estações de Autocarros 
amenity	bus_station	0	Estação de Camionagem
amenity	bus_station	1	Estações de Camionagem 
amenity	bus_station	0	Estação de Ônibus
amenity	bus_station	1	Estações de Ônibus 
amenity	bus_station	0	Estação Rodoviária
amenity	bus_station	1	Estações Rodoviárias 
amenity	bus_station	0	Rodoviária
amenity	bus_station	1	Rodoviárias 
amenity	bus_station	0	Terminal Rodoviário
amenity	bus_station	1	Terminais Rodoviários 
amenity	pub	0	Bar
amenity	pub	1	Bares
amenity	school	0	Escola
amenity	school	1	Escolas
amenity	townhall	0	Câmara Municipal
amenity	townhall	1	Câmaras Municipais
amenity	townhall	0	Município
amenity	townhall	1	Municípios
amenity	university	0	Universidade
amenity	university	1	Universidades
highway	bus_stop	0	Paragem de Autocarro
highway	bus_stop	0	Paragem de Autocarros
highway	bus_stop	1	Paragens de Autocarro
highway	bus_stop	1	Paragens de Autocarros
highway	bus_stop	0	Parada de ônibus
highway	bus_stop	1	Paradas de ônibus
highway	bus_stop	0	Ponto de ônibus
highway	bus_stop	1	Pontos de ônibus
highway	bus_stop	0	Ponto de parada
highway	bus_stop	1	Pontos de parada
highway	road	0	Estrada
highway	road	1	Estradas
historic	castle	0	Castelo
historic	castle	1	Castelos
historic	ruins	0	Ruína
historic	ruins	1	Ruínas
natural	beach	0	Praia
natural	beach	1	Praias
railway	funicular	0	Funicular
railway	funicular	1	Funiculares
railway	level_crossing	0	Passagem de Nível
railway	level_crossing	1	Passagens de Nível
railway	station	0	Estação
railway	station	1	Estações
railway	station	0	Estação de Comboio
railway	station	1	Estações de Comboio 
railway	station	0	Estação de Comboios
railway	station	1	Estações de Comboios 
railway	station	0	Estação Ferroviária
railway	station	1	Estações Ferroviárias 
railway	station	0	Estação de Metro
railway	station	1	Estações de Metro 
railway	station	0	Estação de Metrô
railway	station	1	Estações de Metrô 
railway	station	0	Estação de Metropolitano
railway	station	1	Estações de Metropolitano 
railway	station	0	Estação de Trem
railway	station	1	Estações de Trem 
railway	station	0	Estação de Trens
railway	station	1	Estações de Trens 
tourism	museum	0	Museu
tourism	museum	1	Museus
