key	value	is_plural	phrase
aeroway	aerodrome	0	Аэропорт
aeroway	aerodrome	1	Аэропорты
amenity	arts_centre	0	Дом искусств
amenity	arts_centre	1	Дома искусств
amenity	atm	0	Банкомат
amenity	atm	1	Банкоматы
amenity	bank	0	Банк
amenity	bank	1	Банки
amenity	bar	0	Бар
amenity	bar	1	Бары
amenity	bench	0	Скамья
amenity	bench	1	Скамьи
amenity	bicycle_parking	0	Велопарковка
amenity	bicycle_parking	1	Велопарковки
amenity	bicycle_rental	0	Прокат велосипедов
amenity	bicycle_rental	1	Прокат велосипедов
amenity	brothel	0	Бордель
amenity	brothel	1	Бордели
amenity	bureau_de_change	0	Обмен валют
amenity	bureau_de_change	1	Обмен валют
amenity	bus_station	0	Автобусная станция
amenity	bus_station	1	Автобусные станции
amenity	cafe	0	Кафе
amenity	cafe	1	Кафе
amenity	car_rental	0	Аренда автомобилей
amenity	car_rental	1	Аренда автомобилей
amenity	car_sharing	0	Прокат автомобилей
amenity	car_sharing	1	Прокат автомобилей
amenity	car_wash	0	Автомойка
amenity	car_wash	1	Автомойки
amenity	casino	0	Казино
amenity	casino	1	Казино
amenity	cinema	0	Кинотеатр
amenity	cinema	1	Кинотеатры
amenity	clinic	0	Поликлиника
amenity	clinic	1	Поликлиники
amenity	college	0	Колледж
amenity	college	1	Колледжи
amenity	community_centre	0	Общественный центр
amenity	community_centre	1	Общественные центры
amenity	courthouse	0	Помещение суда
amenity	courthouse	1	Помещения судов
amenity	crematorium	0	Крематорий
amenity	crematorium	1	Крематории
amenity	dentist	0	Стоматология
amenity	dentist	1	Стоматологии
amenity	doctors	0	Врач
amenity	doctors	1	Врачи
amenity	drinking_water	0	Питьевая вода
amenity	drinking_water	1	Питьевая вода
amenity	driving_school	0	Автошкола
amenity	driving_school	1	Автошколы
amenity	embassy	0	Посольство
amenity	embassy	1	Посольства
amenity	emergency_phone	0	Телефон экстренных служб
amenity	emergency_phone	1	Телефоны экстренных служб
amenity	fast_food	0	Палатка с едой
amenity	fast_food	1	Палатки с едой
amenity	ferry_terminal	0	Паромная станция
amenity	ferry_terminal	1	Паромные станции
emergency	fire_hydrant	0	Пожарный гидрант
emergency	fire_hydrant	1	Пожарные гидранты
amenity	fire_station	0	Пожарная охрана
amenity	fire_station	1	Пожарная охрана
amenity	fountain	0	фонтан
amenity	fountain	1	фонтаны
amenity	fuel	0	Заправка
amenity	fuel	1	Заправки
amenity	grave_yard	0	Место захоронения
amenity	grave_yard	1	Места захоронения
amenity	gym	0	тренажерный зал
amenity	gym	1	тренажерные залы
amenity	hospital	0	Госпиталь
amenity	hospital	1	Госпитали
amenity	hunting_stand	0	охотничья вышка
amenity	hunting_stand	1	охотничьи вышки
amenity	ice_cream	0	Мороженное
amenity	ice_cream	1	Мороженное
amenity	kindergarten	0	Детский сад
amenity	kindergarten	1	Детские сады
amenity	library	0	Библиотека
amenity	library	1	Библиотеки
amenity	nightclub	0	ночной клуб
amenity	nightclub	1	ночные клубы
amenity	nursing_home	0	Дом престарелых
amenity	nursing_home	1	Дома престарелых
amenity	pharmacy	0	Аптека
amenity	pharmacy	1	Аптеки
amenity	place_of_worship	0	Место поклонения
amenity	place_of_worship	1	Места поклонений
amenity	police	0	Полиция
amenity	police	1	Полиция
amenity	post_box	0	Почтовый ящик
amenity	post_box	1	Почтовые ящики
amenity	post_office	0	Почтовое отделение
amenity	post_office	1	Почтовые отделения
amenity	prison	0	Тюрьма
amenity	prison	1	Тюрьмы
amenity	pub	0	Паб
amenity	pub	1	Пабы
amenity	public_building	0	общественное здание
amenity	public_building	1	общественные здания
amenity	recycling	0	Место утилизации
amenity	recycling	1	Места утилизации
amenity	restaurant	0	Ресторан
amenity	restaurant	1	Рестораны
amenity	retirement_home	0	Дом престарелых
amenity	retirement_home	1	Дома престарелых
amenity	sauna	0	Сауна
amenity	sauna	1	Сауны
amenity	school	0	школа
amenity	school	1	школы
amenity	shelter	0	Укрытие
amenity	shelter	1	Укрытия
amenity	studio	0	Студия
amenity	studio	1	Студии
amenity	taxi	0	Такси
amenity	taxi	1	Такси
amenity	telephone	0	Телефон
amenity	telephone	1	Телефоны
amenity	theatre	0	Театр
amenity	theatre	1	Театры
amenity	toilets	0	Туалет
amenity	toilets	1	Туалеты
amenity	townhall	0	Городская администрация
amenity	townhall	1	Городская администрация
amenity	university	0	Университет
amenity	university	1	Университеты
amenity	vending_machine	0	торговый автомат
amenity	vending_machine	1	торговые автоматы
amenity	veterinary	0	Ветеринарная клиника
amenity	veterinary	1	Ветеринарные клиники
amenity	waste_basket	0	Мусорный бак
amenity	waste_basket	1	Мусорные баки
boundary	administrative	0	Административная граница
boundary	administrative	1	Административные границы
building	apartments	0	Многоквартирный дом
building	apartments	1	Многоквартирные дома
building	block	0	Ряд зданий
building	block	1	Ряды зданий
building	bunker	0	Бункер
building	bunker	1	Бункеры
building	chapel	0	Церковь
building	chapel	1	Церкви
building	church	0	Церковь
building	church	1	Церкви
building	city_hall	0	Мэрия
building	city_hall	1	Мэрии
building	commercial	0	Офисное здание
building	commercial	1	Офисные здания
building	dormitory	0	Общежитие
building	dormitory	1	Общежития
building	entrance	0	Вход в здание
building	entrance	1	Входы в здание
building	faculty	0	Факультетское здание
building	faculty	1	Факультетские здания
building	farm	0	Ферма
building	farm	1	Фермы
building	flats	0	Квартиры
building	flats	1	Квартиры
building	garage	0	Гараж
building	garage	1	Гаражи
building	hall	0	Холл
building	hall	1	Холлы
building	hospital	0	Здание больницы
building	hospital	1	Здания больницы
building	hotel	0	Гостиница
