key	value	is_plural	phrase
aeroway	aerodrome	0	Sân bay
aeroway	aerodrome	1	Các Sân bay
aeroway	aerodrome	0	Phi trường
aeroway	aerodrome	1	Các Phi trường
aeroway	aerodrome	0	Trung tâm Nghệ thuật
amenity	arts_centre	1	Các Trung tâm Nghệ thuật
amenity	atm	0	Máy Rút tiền Tự động
amenity	atm	1	Các Máy Rút tiền Tự động
amenity	bank	0	Ngân hàng
amenity	bank	1	Các Ngân hàng
amenity	bar	0	Quán Rượu
amenity	bar	1	Các Quán Rượu
amenity	bench	0	Ghế
amenity	bench	1	Các Ghế
amenity	bicycle_parking	0	Chỗ Đậu Xe đạp
amenity	bicycle_parking	1	Các Chỗ Đậu Xe đạp
amenity	bicycle_rental	0	Chỗ Mướn Xe đạp
amenity	bicycle_rental	1	Các Chỗ Mướn Xe đạp
amenity	bus_station	0	Các Trạm xe buýt
amenity	bus_station	1	Các Trạm xe bus
amenity	cafe	0	Quán Cà phê
amenity	cafe	1	Các Quán Cà phê
amenity	car_rental	0	Chỗ Mướn Xe
amenity	car_rental	1	Các Chỗ Mướn Xe
amenity	car_sharing	0	Chia sẻ Xe cộ
amenity	car_sharing	1	Các Chia sẻ Xe cộ
amenity	car_wash	0	Tiệm Rửa Xe
amenity	car_wash	1	Các Tiệm Rửa Xe
amenity	casino	0	Sòng bạc
amenity	casino	1	Các Sòng bạc
amenity	cinema	0	Rạp phim
amenity	cinema	1	Các Rạp phim
amenity	college	0	Trường Cao đẳng
amenity	college	1	Các Trường Cao đẳng
amenity	community_centre	0	Trung tâm Cộng đồng
amenity	community_centre	1	Các Trung tâm Cộng đồng
amenity	courthouse	0	Tòa
amenity	courthouse	1	Các Tòa
amenity	dentist	0	Nha sĩ
amenity	dentist	1	Các Nha sĩ
amenity	doctors	0	Bác sĩ
amenity	doctors	1	Các Bác sĩ
amenity	drinking_water	0	Vòi Nước uống
amenity	drinking_water	1	Các Vòi Nước uống
amenity	driving_school	0	Trường Lái xe
amenity	driving_school	1	Các Trường Lái xe
amenity	embassy	0	Tòa Đại sứ
amenity	embassy	1	Các Tòa Đại sứ
amenity	emergency_phone	0	Điện thoại Khẩn cấp
amenity	emergency_phone	1	Các Điện thoại Khẩn cấp
amenity	fast_food	0	Nhà hàng Ăn nhanh
amenity	fast_food	1	Các Nhà hàng Ăn nhanh
amenity	ferry_terminal	0	Trạm Phà
amenity	ferry_terminal	1	Các Trạm Phà
emergency	fire_hydrant	0	Vòi nước Máy
emergency	fire_hydrant	1	Các Vòi nước Máy
amenity	fire_station	0	Trạm Cứu hỏa
amenity	fire_station	1	Các Trạm Cứu hỏa
amenity	fountain	0	Vòi nước
amenity	fountain	1	Các Vòi nước
